Shopping with parent,You're at the thrift store with your parent and you're looking through the clothes. You notice two people from your school in the other part of the store laughing. They are probably laughing at a,,https://drive.google.com/file/d/1JsdRFiM3aVAyDyf-2dZQW18DvuAcRaZN/view?usp=sharing,soc_015,joke,Are the other students from your school laughing at you?,N,positive,2,5,,,
Sharing stories,You're in a big group of your friends. Everyone is telling stories but you haven't said anything the whole conversation. Your friends probably think you're,"While listening to your friends, you remember that your friend was quiet the other day. You decide that not always sharing is",https://drive.google.com/file/d/1kCPmxpqPwahYN9Zk_mUwXoNnwNeBw6-w/view?usp=sharing,soc_018,boring; normal,Is it normal to not share all of the time?,Y,resilience,5,,,,
First date,"You are going on a date tonight. You don't know the person well and you know there will be some silences in the conversation. Even though it might be awkward, you know you'll have",,https://drive.google.com/file/d/1_3R4q50xu1yCQG9gAsv0N7Y30gmNDBsG/view?usp=sharing,soc_021,fun,Are you able to cope with awkward silences?,Y,positive,2,5,,,
Joke at lunch,"You're talking to a group of your friends at lunch. You make a joke that you think is really funny, but no one really laughs. They were probably ",,https://drive.google.com/file/d/1NxmGRqtKsllBI_gdnwKJkL0RE0HAQrxD/view?usp=sharing,soc_017,distracted,Did you say the wrong thing?,N,positive,2,5,,,
Not invited,"Your friend is having a get together tonight. You weren't invited, but most of your other friends were. When you think about it, this makes you feel  ",You realize you told your friends you had a lot of homework to do. This makes you feel ,https://drive.google.com/file/d/1wpVK9cNa6EqqGi4Arps8be0GLRJOn4LZ/view?usp=sharing,soc_030_r,excluded; relieved,Were you not invited because you were busy?,Y,resilience,5,,,,
,Great job with those scenarios in your domain! Now you'll get to practice a few more scenarios that are from other domains. This will help you apply your flexible thinking skills to lots of different types of situations!,,,,,,,,,,,,
Lots of homework,"You have a lot of homework due tomorrow. You've been procrastinating getting it done because it is going to be hard. When you think doing your homework tonight, you are",,https://drive.google.com/file/d/1ctfYI6TZJr5mbm-BjK9jNskpLStAn1mj/view?usp=sharing,aca_095,ready,Are you going to complete your homework?,Y,positive,,,3,,
Field trip,"You are on a field trip with your school to a local museum and have a group assignment to complete while you're there. You've been grouped with other students who usually don't care about getting a good grade. You start to think about how the assignment will go, and feel ",,https://drive.google.com/file/d/1BRfCeLw8RhJk4gf9kdPvA_AyVBkVFMXq/view?usp=sharing,gen_015,uneasy,Are you worried about completing the assignment?,Y,negative,2,4,,,
Not invited,"Your friend is having a get together tonight. You weren't invited, but most of your other friends were. When you think about it, you realize it's because you are ",,https://drive.google.com/file/d/1FT4-kFl4XIhIEwsMLBSl0YXWekGvanqs/view?usp=sharing,soc_030,busy,Were you not invited because you were busy?,Y,positive ,3,,,,
Lots of family members,"You live with a few extended family members. Your friend asks if they can come over after school to study, and they don't know how many people live in your home. As you picture your friend coming into your home, you think they will be","You consider that you live in a different situation compared to your friend. You also know that your friend is really nice, so will be ",https://drive.google.com/file/d/1gOgWMSmj9SUOfxHrpkgHpZkmIMjWY3Yq/view?usp=sharing,hom_020,surprised; accepting,Does your friend judge you for living with lots of extended family members?,N,Resilience ,2,,,,
Talking about school ,"You are talking to your parent about your day at school and suddenly you feel your throat go dry. You cough a little and reach for a glass of water. The water helps a little, and you realize that the dry through was probably",,https://drive.google.com/file/d/1EYKumlSsrqKHNA6TbZfnrscg0F5KgSYg/view?usp=sharing,phys_030,nothing,Does the dry throat mean that you are sick?,N,positive,2,,,,
,,,,,,,,,,,,,
,PHYSICAL HEALTH ,,,,,,,,,,,,
Scenario name,Scenario,,Image,Variable name,Ending word(s),Comprehension Question,Y/N,"Type of ending (positive, negative, or resilence) ",,,,,
Heaviness in chest,You are lying in your bed and about to go to sleep. You start to feel a heaviness in your chest as you try to sleep. You think about this pressure and feel,,https://drive.google.com/file/d/1izJIViWYKVGzESq3qfuHbCfkmMbXkVuc/view?usp=sharing,phys_020,tired,Are you worried about the heaviness in your chest as you fall asleep?,N,positive,1,5,,,
Meeting with teacher,You are walking to an important meeting with your teacher. Suddenly your mind goes blank as you reach for the doorknob to her office. You think about your mind going blank and think that this is,,https://drive.google.com/file/d/1v_4FGXs96Yggu3t319aUfGuvOfo--Ji7/view?usp=sharing,phys_022,normal,Is it scary that your mind went blank right before your meeting?,N,positive,1,5,,,
Allergies during walk,"It's a chilly spring day, and you are out walking outside in the park, hitting the soccer ball around. As you pass by the trees, you feel increasingly stuffy and sore. You start feeling","Looking around, you see all the pollen flying in the air. You realize that you usually get a stuffy nose with seasonal allergies and are probably tired from playing soccer for the last hour. You feel",https://drive.google.com/file/d/17_EYo7VIPp-T5CZvRZUf-0b85G6un1CH/view?usp=sharing,phys_035,scared; relieved,Does your rapid heartrate mean something bad is happening?,N,resilience ,1,5,,,
Spinning in office chair,You decide to spin yourself really quickly on an office chair. You feel butterflies in your stomach and your head get dizzy as the chair slows down from spinning. These feelings probably mean that you are,,https://drive.google.com/file/d/1fYamTMa1ZB3CzDOyWxCfhKI3L2j1vR7J/view?usp=sharing,phys_023,fine,Are you worried about feeling dizzy? ,N,positive,2,5,,,
Vision in the morning,"As you wake up in the morning, you sit up quickly. Your vision goes blurry, and then goes black for a moment. Your vision comes back after a moment, and you tell yourself that it happened because you sat up",,https://drive.google.com/file/d/1zilnZ-Hg2NZiL6TR6YmDYtIdKcj2JFhH/view?usp=sharing,phys_024,quickly,Does your momentary blurry vision mean that you are going blind?,N,positive,2,5,,,
Birthday party ,You are at a birthday party for a friend of a friend. You start to feel a knot in your stomach while talking to someone you've never met before. This probably means that you are,,https://drive.google.com/file/d/1m8Y-P-lBw6IkILN6LVQ2sO9xx9D8qSBD/view?usp=sharing,phys_025,excited,Are you worried about talking to a new person?,N,positive,2,5,,,
Dance class,"You are taking a dancing class and, during a break, feel your legs go wobbly. You focus on these feelings as you get a drink of water. Wobbly legs probably mean that you are pushing",,https://drive.google.com/file/d/1xY_MqEc3uOEL5xvE9lYTGJ6OJPlAArWS/view?usp=sharing,phys_026,yourself,Are your wobbly legs a sign that you are unwell?,N,positive,2,5,,,
Cold day jog,"It's a cold day, and you are outside jogging. Your heart starts to beat quickly a few minutes in. You decide that this feeling is",,https://drive.google.com/file/d/1FS-osT_v7dH6pF1URFaIMXwErnTMFWu-/view?usp=sharing,phys_008,scary,Is your rapid heartbeat scary?,Y,negative,1,5,,,
Audition time,You are about to audition for a play and you feel your body tremble. You don't usually feel this way when you perform in front of people. These trembling feelings mean that you are,,https://drive.google.com/file/d/1UcUOIgIb1sT3Y4WwWRfiQFLuJqa4XWB4/view?usp=sharing,phys_029,ready,Do the trembling feelings mean that you are unprepared for the audition?,N,positive,2,5,,,
Nervous giving presentation,"You are giving a presentation in school that you have been really nervous to give. As you talk, you feel a lump in your throat and you start to cough. These feelings probably mean that you are","You decide to take a slow, deep breath. As you start to talk again, you realize that what you felt was",https://drive.google.com/file/d/19C7toEPndzExnPZqhv9WwfUM2jnf7-8D/view?usp=sharing,phys_009,panicking; normal,Is it normal to cough during a presentation?,Y,resilience,5,,,,
,Great job with those scenarios in your domain! Now you'll get to practice a few more scenarios that are from other domains. This will help you apply your flexible thinking skills to lots of different types of situations!,,,,,,,,,,,,
Lots of homework,"You have a lot of homework due tomorrow. You've been procrastinating getting it done because it is going to be hard. When you think doing your homework tonight, you are",,https://drive.google.com/file/d/1ctfYI6TZJr5mbm-BjK9jNskpLStAn1mj/view?usp=sharing,aca_095,ready,Are you going to complete your homework?,Y,positive,,,3,,
Field trip,"You are on a field trip with your school to a local museum and have a group assignment to complete while you're there. You've been grouped with other students who usually don't care about getting a good grade. You start to think about how the assignment will go, and feel ",,https://drive.google.com/file/d/1BRfCeLw8RhJk4gf9kdPvA_AyVBkVFMXq/view?usp=sharing,gen_015,uneasy,Are you worried about completing the assignment?,Y,negative,2,4,,,
Not invited,"Your friend is having a get together tonight. You weren't invited, but most of your other friends were. When you think about it, you realize it's because you are ",,https://drive.google.com/file/d/1FT4-kFl4XIhIEwsMLBSl0YXWekGvanqs/view?usp=sharing,soc_030,busy,Were you not invited because you were busy?,Y,positive ,3,,,,
Lots of family members,"You live with a few extended family members. Your friend asks if they can come over after school to study, and they don't know how many people live in your home. As you picture your friend coming into your home, you think they will be","You consider that you live in a different situation compared to your friend. You also know that your friend is really nice, so will be ",https://drive.google.com/file/d/1gOgWMSmj9SUOfxHrpkgHpZkmIMjWY3Yq/view?usp=sharing,hom_020,surprised; accepting,Does your friend judge you for living with lots of extended family members?,N,Resilience ,2,,,,
Talking about school ,"You are talking to your parent about your day at school and suddenly you feel your throat go dry. You cough a little and reach for a glass of water. The water helps a little, and you realize that the dry through was probably",,https://drive.google.com/file/d/1EYKumlSsrqKHNA6TbZfnrscg0F5KgSYg/view?usp=sharing,phys_030,nothing,Does the dry throat mean that you are sick?,N,positive,2,,,,
,,,,,,,,,,,,,
,SOCIAL MEDIA,,,,,,,,,,,,
Scenario name,Scenario,,Image,Variable name,Ending word(s),Comprehension Question,Y/N,"Type of ending (positive, negative, or resilence) ",,,,,
Tagged pictures,"You and your friend took some pictures together. You look through your feed and see that they tagged you in a post and you really don't like how you look. But, you know that in the long run it won't",,https://drive.google.com/file/d/1NvTM1g3vx1Kut8y_4vvBJo79qKHzUztk/view?usp=sharing,sm_026,matter,Are you worried about your appearence in the posted picture?,N,positive,self-image,1,5,,
Being different,You notice that everyone is posting the same type of posts. You consider posting something totally unique. The thought of doing something different makes you feel,"You decide to post something different from what everyone else is doing. After posting, you feel",https://drive.google.com/file/d/1TU-vDyoLAB5--Mx4gvO5P_0Cu9AVyDqC/view?usp=sharing,sm_038,nervous; proud,Do you let your anxiety hold you back from posting something different from everyone else? ,N,resilience,acceptance,5,,,
Embarassing comments,You post a short video. Your best friend comments something really embarassing. Your followers will think that you and your friend are ,,https://drive.google.com/file/d/1828HR7oyHuDJpNFSn5JmLlYAZ24vA7x7/view?usp=sharing,sm_014,close,Do others judge you for your friend's comment on your post?,N,positive,self-image,1,5,,
Posting multiple times,"You take a picture of your friend that is really great. You are about to post it but remember that you just posted yesterday. If you post again, you think people won't ",,https://drive.google.com/file/d/1Ev1HphDd6ARyBxl2_PUoyWxWlfAh9n7F/view?usp=sharing,sm_008,notice,Do your followers think it's strange that you posted two days in a row?,N,positive,checking,1,5,,
Your likes on your post,"You have a lot of followers on social media. Your photo has only a few likes after a few hours, and usually by now you'd have a lot more reactions. You wonder if people aren't liking your post because they are",,https://drive.google.com/file/d/1ipEEthtZYy6boPP2xVORG4kPi9ARn5kH/view?usp=sharing,sm_005,busy,Are people not reacting to your post because they think you look bad?,N,positive,checking,1,5,,
Invitations to hang with friends,You see from social media stories that a group of your friends are hanging out together. You weren't invited and it looks like they're having a great time. Your friends probably didn't invite you because they,You are sad that you weren't invited to hang out with your friends. You realize being sad about the situation is,https://drive.google.com/file/d/1xSAw-CwtBTvY0UR0NtuQU_3_RQf2Rz5p/view?usp=sharing,sm_003,forgot; normal,Did your friends exclude you on purpose?,N,resilience,FOMO,1,5,,
Friends and participation,"A new dance is trending on social media. You and your best friend really want to make it, but it requires three people. You decide not to make the video since you do not have a third friend to make it with, and you feel",,https://drive.google.com/file/d/1-ksZuGGB0YUzOK76hSizrU3kuyRS8YZX/view?usp=sharing,sm_028,sad,Are you upset about not having a friend group of three people?,Y,negative,other *idk about this one... may need to be revisted,2,5,,
Not having social media,"Your crush asks you about your social media accounts. You don't like social media, and have chosen not to have any accounts. Your crush will think that you are",,https://drive.google.com/file/d/1Uw5HdQZ6Dc6nDXjx1phjSGHc5CYxVrY3/view?usp=sharing,sm_019,cool,Does your crush think it's fine that you don't have social media?,Y,positive,acceptance,2,5,,
Checking your account,"You meet a new student in biology who seems really cool. After school, they request to follow you on your private social media account. Before you let them follow you, you look over your own feed and feel ",,https://drive.google.com/file/d/1PNlqc0Jg4bm9KOsakVSsKmJDaQwqLGrB/view?usp=sharing,sm_007,good,Are you worried about what your classmate thinks of your profile?,N,positive,self-image,2,5,,
Being left on open,"You can see that friend opened the photo you sent but didn't respond to you. You know that they're posting other things, so they're definitely on their phone. Your friend probably didn't respond because they",,https://drive.google.com/file/d/16Mn418BJmgaCo2BI0gZ-yjV4YknV-Me0/view?usp=sharing,sm_016,forgot,Is your friend ignoring you on purpose?,N,positive,checking,2,5,,
,Great job with those scenarios in your domain! Now you'll get to practice a few more scenarios that are from other domains. This will help you apply your flexible thinking skills to lots of different types of situations!,,,,,,,,,,,,
Lots of homework,"You have a lot of homework due tomorrow. You've been procrastinating getting it done because it is going to be hard. When you think doing your homework tonight, you are",,https://drive.google.com/file/d/1ctfYI6TZJr5mbm-BjK9jNskpLStAn1mj/view?usp=sharing,aca_095,ready,Are you going to complete your homework?,Y,positive,,,3,,
Field trip,"You are on a field trip with your school to a local museum and have a group assignment to complete while you're there. You've been grouped with other students who usually don't care about getting a good grade. You start to think about how the assignment will go, and feel ",,https://drive.google.com/file/d/1BRfCeLw8RhJk4gf9kdPvA_AyVBkVFMXq/view?usp=sharing,gen_015,uneasy,Are you worried about completing the assignment?,Y,negative,2,4,,,
Not invited,"Your friend is having a get together tonight. You weren't invited, but most of your other friends were. When you think about it, you realize it's because you are ",,https://drive.google.com/file/d/1FT4-kFl4XIhIEwsMLBSl0YXWekGvanqs/view?usp=sharing,soc_030,busy,Were you not invited because you were busy?,Y,positive ,3,,,,
Lots of family members,"You live with a few extended family members. Your friend asks if they can come over after school to study, and they don't know how many people live in your home. As you picture your friend coming into your home, you think they will be","You consider that you live in a different situation compared to your friend. You also know that your friend is really nice, so will be ",https://drive.google.com/file/d/1gOgWMSmj9SUOfxHrpkgHpZkmIMjWY3Yq/view?usp=sharing,hom_020,surprised; accepting,Does your friend judge you for living with lots of extended family members?,N,Resilience ,2,,,,
Talking about school ,"You are talking to your parent about your day at school and suddenly you feel your throat go dry. You cough a little and reach for a glass of water. The water helps a little, and you realize that the dry through was probably",,https://drive.google.com/file/d/1EYKumlSsrqKHNA6TbZfnrscg0F5KgSYg/view?usp=sharing,phys_030,nothing,Does the dry throat mean that you are sick?,N,positive,2,,,,
,,,,,,,,,,,,,
,HOME LIFE ,,,,,,,,,,,,
Scenario,Scenario,,Image ,Variable name,Ending word(s),Comprehension Question,Y/N,"Type of ending (positive, negative, or resilence) ",,,,,
Upset parents ,"You notice your parents are upset but you don't know what's wrong. They give you a short answer when you try to talk with them at dinner. You consider why they're mad, and realize that it is not",,https://drive.google.com/file/d/1x8owNsmx6SS5vTpeM-BGHDCyAAOnwzbG/view?usp=sharing,hom_009,you,Are they upset with you?,N,Positive,1,5,,,
Dent on the car ,"Your family shares one older car that has a big dent in the front. Today your parent has to drop you off at school because you are running a little late. When you think about your classmates seeing your parent's car, you feel","As you're getting out of the car in front of the school, you see your group of friends. They smile and wave at you, and you feel",https://drive.google.com/file/d/1mOlMHP980_j_w9ymOJWVqOKB1T-y77dx/view?usp=sharing,hom_018,nervous; relieved,Do your friends judge your parent's car? ,N,Resilience ,2,5,,,
Birthday present ,"Your friend is having a huge birthday party with all of your friends attending. You know you can't afford a gift for your friend. You show up with a homemade card, your friend is",,https://drive.google.com/file/d/1UoBTJwOaRbMpWrYnOWNPOBzR-axREE4s/view?usp=sharing,hom_010,thankful,Is your friend sad you did not bring a present?,N,Positive,1,5,,,
Loud guardian ,"Your guardian is dropping you off at your sports practice. As they drop you off, they are really loud and make you feel embarrassed. As you get out of the car, you feel",,https://drive.google.com/file/d/1_yNUHw34Vp2RxqAunp0iGwPNqOzTzKbc/view?usp=sharing,hom_011,fine,Are you able to tolerate your guardian embarrassing you while being dropped off? ,Y,Positive,1,5,,,
Lots of chores,At home there are a lot of chores that your parents said you have to finish today. You have a big project to work on that will take a lot of time. Balancing your home life and school life is,"You look for a good artist to listen to while you do your chores. As you start to tackle your to-do list, you feel",https://drive.google.com/file/d/1cQbfhuu2-vL7J0Igqz9iQOuZsJQ0wTlZ/view?usp=sharing,hom_015,stressful; confident,Are you overwhelmed by what you need to accomplish? ,N,Resilience ,1,5,,,
Different opinions,"You invite your friend over after school and your parents are home. Your parents are pretty opinionated and may say something embarrassing to your friend. As you and your friend walk into your home, you are",,https://drive.google.com/file/d/1bI1F-c5_vDfCHfyyO6kkJ_mSrcbL49R6/view?usp=sharing,hom_012,calm,Are you anxious as you and your friend go into your home?,N,Positive,2,5,,,
Smelly food,"You and some friends are watching a movie at your home. At the end of the movie, your friend asks what that funny smell is. You know that's your dinner, and when you think about how to answer you feel",,https://drive.google.com/file/d/1ycooBDYhbqicxiNW3ADymBujgdMVhh8h/view?usp=sharing,hom_013,hungry,Are you anxious about telling your friend that the smell is your dinner?,N,Positive,2,5,,,
Low score on test,You have recieved a poor score on a test and your guardian has to sign off on it since the grade is low. They don't say anything when you show them your test. They are probably feeling ,,https://drive.google.com/file/d/1Srg7WWskU86agc1Xzr0g_QYySWH4zGS8/view?usp=sharing,hom_006,disappointed,Is your guardian disappointed that you got a bad grade?,Y,Negative,2,5,,,
Cultural celebration,"Your friends ask you to go to a concert, but it's the night of an important cultural celebration for your family. You are looking forward to the celebration with your family, but don't want your friends to think you're lame. As you think about telling your friends, you realize that your culture is ",,https://drive.google.com/file/d/1ooVd4XP2M8uvAgD3jqy3SN9TjXcZXBCO/view?usp=sharing,hom_016,important,Are you embarrassed to tell your friends that you can't go to the concert?,N,Positive,2,5,,,
Differences,"You want to go to college, no one in your family has gone to college yet. You think about how your family will react when you tell them your decision and they may not like the idea of you going to college. As you imagine telling them, you feel",,https://drive.google.com/file/d/1mfPOr__w6g_DX68Qv4rp11wDL15AzfTN/view?usp=sharing,hom_017,excited,Are you worried about telling your family that you want to go to college?,N,Positive,2,5,,,
,Great job with those scenarios in your domain! Now you'll get to practice a few more scenarios that are from other domains. This will help you apply your flexible thinking skills to lots of different types of situations!,,,,,,,,,,,,
Lots of homework,"You have a lot of homework due tomorrow. You've been procrastinating getting it done because it is going to be hard. When you think doing your homework tonight, you are",,https://drive.google.com/file/d/1ctfYI6TZJr5mbm-BjK9jNskpLStAn1mj/view?usp=sharing,aca_095,ready,Are you going to complete your homework?,Y,positive,,,3,,
Field trip,"You are on a field trip with your school to a local museum and have a group assignment to complete while you're there. You've been grouped with other students who usually don't care about getting a good grade. You start to think about how the assignment will go, and feel ",,https://drive.google.com/file/d/1BRfCeLw8RhJk4gf9kdPvA_AyVBkVFMXq/view?usp=sharing,gen_015,uneasy,Are you worried about completing the assignment?,Y,negative,2,4,,,
Not invited,"Your friend is having a get together tonight. You weren't invited, but most of your other friends were. When you think about it, you realize it's because you are ",,https://drive.google.com/file/d/1FT4-kFl4XIhIEwsMLBSl0YXWekGvanqs/view?usp=sharing,soc_030,busy,Were you not invited because you were busy?,Y,positive ,3,,,,
Lots of family members,"You live with a few extended family members. Your friend asks if they can come over after school to study, and they don't know how many people live in your home. As you picture your friend coming into your home, you think they will be","You consider that you live in a different situation compared to your friend. You also know that your friend is really nice, so will be ",https://drive.google.com/file/d/1gOgWMSmj9SUOfxHrpkgHpZkmIMjWY3Yq/view?usp=sharing,hom_020,surprised; accepting,Does your friend judge you for living with lots of extended family members?,N,Resilience ,2,,,,
Talking about school ,"You are talking to your parent about your day at school and suddenly you feel your throat go dry. You cough a little and reach for a glass of water. The water helps a little, and you realize that the dry through was probably",,https://drive.google.com/file/d/1EYKumlSsrqKHNA6TbZfnrscg0F5KgSYg/view?usp=sharing,phys_030,nothing,Does the dry throat mean that you are sick?,N,positive,2,,,,
,,,,,,,,,,,,,
,GENERAL,,,,,,,,,,,,
Scenario name,Scenario,,Image,Variable name,Ending word(s),Comprehension Question,Y/N,"Type of ending (positive, negative, or resilence) ",,,,,
Fruit slice,"At a picnic with family, you accidentally cut your finger while slicing fruit. Because you are outside, you are not able to wash it out immediately with soap and water. In a few days, your cut will be",,https://drive.google.com/file/d/1Mu4B99f_8N1nQxTYtHOfiGj2lIRhn65P/view?usp=sharing,gen_014,healed,Are you worried the cut will become infected?,N,positive,2,5,,,
Friend at the hospital ,"You get a text from a friend that they are in the hospital, but they don't tell you why. You start to worry about whether they're going to be OK. As you think about your friend, you feel ",,https://drive.google.com/file/d/1orHJdZcvNDmtHi2FCrQ29bBopJCgLT5D/view?usp=sharing,gen_017,calm,Will your friend probably be OK? ,Y,positive,2,5,,,
