Friends at the grocery store,"You are working at the grocery store bagging groceries and notice two friends. They are buying drinks and snacks, and they say hi as they're checking out. You feel","You realize that they might have jobs, too. This makes you feel ",https://drive.google.com/file/d/19C7toEPndzExnPZqhv9WwfUM2jnf7-8D/view?usp=sharing,soc_025_r,embarrassed; better,Do you feel anxious after seeing your friends? ,N,resilience,3,,
Loud door,You walk into a quiet classroom a few minutes late. The door squeaks really loudly as you enter and classmates look in your direction. They are probably feeling,,https://drive.google.com/file/d/1To4f_zxdcC6nVMeuf42V-32MmiEU5jxS/view?usp=sharing,soc_007,surprised,Are your classmates annoyed that you disturbed them?,N,positive ,3,,
Birthday party,"Your grandmother is organizing a birthday party for you at her home. She invited a lot of people who will all be there for you. When you think about all of the people coming, you feel",,https://drive.google.com/file/d/1UoBTJwOaRbMpWrYnOWNPOBzR-axREE4s/view?usp=sharing,soc_019,excited,Are you excited about having people there to celebrate your birthday?,Y,positive ,3,,
New friends,"You're hanging out with a new group of people. You tell a funny joke that you think goes along with the topic of conversation, and no one laughs. The new friends will find you",,https://drive.google.com/file/d/1yiiOYH44i6dc55AQDM7o7eycfFI39XwW/view?usp=sharing,soc_029,friendly,Do the people in the new group think you're nice?,Y,positive ,3,,
,Great job with those scenarios in your domain! Now you'll get to practice a few more scenarios that are from other domains. This will help you apply your flexible thinking skills to lots of different types of situations!,,,,,,,,,,
Breakout rooms,"During your English class over Zoom, you're placed into breakout rooms. When you start the discussion, your camera is on but everyone else leaves their cameras off and their mics muted. You think that the others will think that you are",,https://drive.google.com/file/d/1ZxZ_841mwj2NoY_cCWf9GHGmHmnONE6A/view?usp=sharing,aca_070,ready,Are the others in the class judging you?,N,positive,1,,
Number of likes on your post,"You have a lot of followers on social media. Your photo has only a few likes after a few hours, and usually by now you'd have a lot more reactions. You wonder if people aren't liking your post because you look","You remember why you posted your picture in the first place. After you think about it, you look at your picture you feel",https://drive.google.com/file/d/1xJHDDEq_Pcuyo7r3BJ3CX-cr5YI7YkrO/view?usp=sharing,sm_004,bad; better,Do you feel worried about having enough likes?,N,resilience,checking,1,
Upset parents ,"You notice your parents are upset but you don't know what's wrong. They give you a short answer when you try to talk with them at dinner. You consider why they're mad, and realize that it is not",,https://drive.google.com/file/d/1x8owNsmx6SS5vTpeM-BGHDCyAAOnwzbG/view?usp=sharing,hom_009,you,Are they upset with you?,N,Positive,1,5,
Cold day jog,"It's a cold day, and you are outside jogging. Your heart starts to beat quickly a few minutes in. You decide that this feeling is",,https://drive.google.com/file/d/1FS-osT_v7dH6pF1URFaIMXwErnTMFWu-/view?usp=sharing,phys_008,scary,Is your rapid heartbeat scary?,Y,negative,1,5,
Noise outside,You are babysitting a younger kid in your neighborhood and they just went to sleep. It's dark out and you suddenly hear noises outside. You peek out the window and see a ,,https://drive.google.com/file/d/11Vs9sz9BDAkaj5QCxD927t-mz-VTFWXn/view?usp=sharing,gen_018,cat,Was there something scary outside in the dark? ,N,positive,2,5,
,,,,,,,,,,,
,PHYSICAL HEALTH ,,,,,,,,,,
Scenario name,Scenario,,Image,Variable name,Ending word(s),Comprehension Question,Y/N,"Type of ending (positive, negative, or resilence) ",,,
Tooth ache,"You tell your caregiver that your tooth has been hurting recently, so they make you a dentist appointment. You think about the pain in your tooth and what it might be from. As you wait for your appointment, you will feel",,https://drive.google.com/file/d/1tx8o8w91aqw3k6CaxI1f-gxpAoV22yp6/view?usp=sharing,phys_003,calm,Can you handle going to the dentist?,Y,positive ,3,,
Mile run in gym ,You're doing a mile run in gym class and you want to get a good time. You notice that your heart is racing more quickly than usual after you stop. You think that this is,,https://drive.google.com/file/d/1Ba88gEkP7CKNLp4OYy0jKaTec5G1fIIh/view?usp=sharing,phys_004,normal,Is it bad that your heart is racing after the run?,N,positive ,3,,
Upcoming test,"You have been anxious about an upcoming test for class. The day of the test, you notice that your stomach is aching. You think that the stomach ache must be from",,https://drive.google.com/file/d/1AZk7owEM2J5V91afv56x1rxdom3zjESu/view?usp=sharing,phys_034,anxiety,Is the stomach ache from anxiety?,Y,negative,3,,
Doctor's office tests,"At your routine doctor's appointment, your doctor decides to run a few tests to evaluate your health. Your results will be ready within a week. While waiting for your results, you think you are likely",,https://drive.google.com/file/d/1skss2BI_-uGWDYIrkmbfefHHXDWYy7yn/view?usp=sharing,phys_007,healthy,Are you likely ill?,N,positive ,3,,
Dry mouth ,You have experienced a dry mouth for a few days. This is something you haven't felt before. The likelihood that dry mouth means a serious health problem is,,e,phys_012,low,Does your dry mouth signal that you are ill?,N,positive ,3,,
Seeing old friend,You see an old friend you haven't spoken to in years. Your heart skips a beat. You feel,,https://drive.google.com/file/d/1y8Ol0_urR_KdDlcWEw9hZ979KBQ_ozHp/view?usp=sharing,phys_013,excited,Are you worried about your heart skipping a beat?,N,positive ,3,,
Tingling in the fingers,You're walking with some friends after lunch and suddenly feel tingling in your finger tips. This is something that you haven't really experienced before. This probably means that you are,,https://drive.google.com/file/d/1TaGhr-WWip-eRu9sYUy8KrsB9UlfG_Im/view?usp=sharing,phys_019,fine,Does the tingling in your fingers mean that you are sick?,N,positive ,3,,
Presentation on research,"You are giving a presentation to your class about your research project. You feel that your hands are shaking a little. Wondering if it is obvious, you look around and see that a few classmates have",You realize that your classmates are more interested in your presentation than your hands. You continue your presentation and as time passes you realize that your nerves are,https://drive.google.com/file/d/1fP7NEOdaJAargUDgnwsccl6_MGByH6Hs/view?usp=sharing,phys_032,noticed; manageable,Are you able to handle your anxiety during your presentation?,Y,resilience,3,,
Jogging to a friend,"You see your friends across the street and jog over to them. You feel a little disoriented and dizzy as you reach them. You consider what this means, and realize that it probably means that you ran",,https://drive.google.com/file/d/1pczJLTVnLyHDjo-fmzd5s_A2lnG8fHM7/view?usp=sharing,phys_031,quickly,Are you scared by feeling slightly disoriented after your short jog?,N,positive ,3,,
Spinning in office chair,You decide to spin yourself really quickly on an office chair. You feel butterflies in your stomach and your head get dizzy as the chair slows down from spinning. These feelings probably mean that you are going to ,"Instead of panicking, you decide to take a deep breathe. Slowly, your dizziness disapears and your stomach feels ",https://drive.google.com/file/d/1fYamTMa1ZB3CzDOyWxCfhKI3L2j1vR7J/view?usp=sharing,phys_036,faint; better,Are you worried about fainting? ,N ,resilience,3,,
,Great job with those scenarios in your domain! Now you'll get to practice a few more scenarios that are from other domains. This will help you apply your flexible thinking skills to lots of different types of situations!,,,,,,,,,,
Breakout rooms,"During your English class over Zoom, you're placed into breakout rooms. When you start the discussion, your camera is on but everyone else leaves their cameras off and their mics muted. You think that the others will think that you are",,https://drive.google.com/file/d/1ZxZ_841mwj2NoY_cCWf9GHGmHmnONE6A/view?usp=sharing,aca_070,ready,Are the others in the class judging you?,N,positive,1,,
Number of likes on your post,"You have a lot of followers on social media. Your photo has only a few likes after a few hours, and usually by now you'd have a lot more reactions. You wonder if people aren't liking your post because you look","You remember why you posted your picture in the first place. After you think about it, you look at your picture you feel",https://drive.google.com/file/d/1xJHDDEq_Pcuyo7r3BJ3CX-cr5YI7YkrO/view?usp=sharing,sm_004,bad; better,Do you feel worried about having enough likes?,N,resilience,checking,1,
Upset parents ,"You notice your parents are upset but you don't know what's wrong. They give you a short answer when you try to talk with them at dinner. You consider why they're mad, and realize that it is not",,https://drive.google.com/file/d/1x8owNsmx6SS5vTpeM-BGHDCyAAOnwzbG/view?usp=sharing,hom_009,you,Are they upset with you?,N,Positive,1,5,
Cold day jog,"It's a cold day, and you are outside jogging. Your heart starts to beat quickly a few minutes in. You decide that this feeling is",,https://drive.google.com/file/d/1FS-osT_v7dH6pF1URFaIMXwErnTMFWu-/view?usp=sharing,phys_008,scary,Is your rapid heartbeat scary?,Y,negative,1,5,
Noise outside,You are babysitting a younger kid in your neighborhood and they just went to sleep. It's dark out and you suddenly hear noises outside. You peek out the window and see a ,,https://drive.google.com/file/d/11Vs9sz9BDAkaj5QCxD927t-mz-VTFWXn/view?usp=sharing,gen_018,cat,Was there something scary outside in the dark? ,N,positive,2,5,
,,,,,,,,,,,
,SOCIAL MEDIA,,,,,,,,,,
Scenario name,Scenario,,Image,Variable name,Ending word(s),Comprehension Question,Y/N,"Type of ending (positive, negative, or resilence) ",,,
Family on social media,You look through your social media feed. You notice you posted a picture with your parents and none of your other friends have posted pictures with their family. Your followers must think that you're,,https://drive.google.com/file/d/1CZ3q4YAXdB5vZOsWDR7bPvWclLmbpBgm/view?usp=sharing,sm_009,genuine,Do others think you're uncool for posting a picture with your parent?,N,positive,self-image,3,
Not getting invited,"As you scroll through your social media, you see that your friends hung out without you last night. You didn't get an invite to hang out with them. You realize that sometimes your friends hang out without you and you feel","You don't like being left out. But, you decide that you can tolerate this",https://drive.google.com/file/d/1NQOsEWtgZnLSr1Ii5PB_SnSTL28Emh96/view?usp=sharing,sm_021_r,excluded; feeling,Can you handle that sometimes your friends hang out without you?,Y,resilience,FOMO,3,
Comparing yourself to influencers,"You notice there are a lot of attractive people posting videos. You are a little uncomfortable posting a video, but post anyway. You feel",,https://drive.google.com/file/d/12f9H6RLs5TpAoVHNzoZo3xHqHqmBx9Hm/view?usp=sharing,sm_029,confident,Do you hold back from posting a video because you do not feel as attractive as the people you see in other videos?,N,positive,acceptance,3,
Your friend has a new friend,"As you scroll through your social media accounts, you see that your closest friend is hanging out with someone you don't know. You wonder who this person is, and why you haven't heard about them. When you think about your friendship with this friend, you feel",,https://drive.google.com/file/d/1ubHP8Zz30rk9gM5tUZ00g7N4f2wP0Zzl/view?usp=sharing,sm_039,worried,Are you are upset that your friends were together without you?,Y,negative,FOMO,3,
Your posted photo,"You posted a selfie on social media a few hours ago. Your best friend hasn't commented on it yet, even though they usually comment on your posts immediately and they just posted a photo of their own. You think that the post probably wasn't",,https://drive.google.com/file/d/1HkN2rJ7Y0VEY5dMn1mntz5eYutNR5dSv/view?usp=sharing,sm_002,seen,Is your best friend ignoring your posts? ,N,positive,other,3,
Having a high score,"You check your score on a social media app. Your score is getting really high. If your score gets much higher, people will think that you use the app a lot and this makes you feel",,https://drive.google.com/file/d/16Mn418BJmgaCo2BI0gZ-yjV4YknV-Me0/view?usp=sharing,sm_011,unbothered,Do you care that people know you use this app a lot?,N,positive,self-image,3,
Thinking of a funny caption,You are trying come up with a caption for a new post. You come up with a risky joke that your closest friends will love. Your followers will think it's,,https://drive.google.com/file/d/1828HR7oyHuDJpNFSn5JmLlYAZ24vA7x7/view?usp=sharing,sm_013,funny,Are you worried what your followers will think of your caption?,N,positive,self-image,3,
Your social media aesthetic,You go to post a story to your feed. As you arrange the post you wonder about the aesthetic of the story. You see all of the font and design options and feel,You decide to continue to create your story and post it once you are happy with how it looks. You look forward to people's,https://drive.google.com/file/d/1WR1Pb35_T1V_oa6Pjb0gL-CFn_3PsxsZ/view?usp=sharing,sm_027,overwhelmed; reactions,Are you worried about posting an aesthetically pleasing photo to your feed?,N,resilience,self-image,3,
Innapropriate messages,"On your social media account, you have a lot of direct messages (DMs). When you check your inbox you notice an explicit message from an account you don't know. You decide to report it and feel more",,https://drive.google.com/file/d/1KHcNfS-rLgCp7he0M7v9PyUWv91bKKlq/view?usp=sharing,sm_033,relaxed,Do you get anxious about the message you received?,N,positive,other,3,
Interacting with someone new,"You meet a new classmate in your online class and they ask for your name on social media. When you tell them that you don't have that app, they grow quiet. They could be brainstorming other ways to contact you, which makes you feel",,https://drive.google.com/file/d/1PEUKUXMS1lyIs1M8OykJgDxAj2U0uhUM/view?usp=sharing,sm_023,happy,Did your classmate get quiet because they were judging you?,N,positive,acceptance,3,
,Great job with those scenarios in your domain! Now you'll get to practice a few more scenarios that are from other domains. This will help you apply your flexible thinking skills to lots of different types of situations!,,,,,,,,,,
Breakout rooms,"During your English class over Zoom, you're placed into breakout rooms. When you start the discussion, your camera is on but everyone else leaves their cameras off and their mics muted. You think that the others will think that you are",,https://drive.google.com/file/d/1ZxZ_841mwj2NoY_cCWf9GHGmHmnONE6A/view?usp=sharing,aca_070,ready,Are the others in the class judging you?,N,positive,1,,
Number of likes on your post,"You have a lot of followers on social media. Your photo has only a few likes after a few hours, and usually by now you'd have a lot more reactions. You wonder if people aren't liking your post because you look","You remember why you posted your picture in the first place. After you think about it, you look at your picture you feel",https://drive.google.com/file/d/1xJHDDEq_Pcuyo7r3BJ3CX-cr5YI7YkrO/view?usp=sharing,sm_004,bad; better,Do you feel worried about having enough likes?,N,resilience,checking,1,
Upset parents ,"You notice your parents are upset but you don't know what's wrong. They give you a short answer when you try to talk with them at dinner. You consider why they're mad, and realize that it is not",,https://drive.google.com/file/d/1x8owNsmx6SS5vTpeM-BGHDCyAAOnwzbG/view?usp=sharing,hom_009,you,Are they upset with you?,N,Positive,1,5,
Cold day jog,"It's a cold day, and you are outside jogging. Your heart starts to beat quickly a few minutes in. You decide that this feeling is",,https://drive.google.com/file/d/1FS-osT_v7dH6pF1URFaIMXwErnTMFWu-/view?usp=sharing,phys_008,scary,Is your rapid heartbeat scary?,Y,negative,1,5,
Noise outside,You are babysitting a younger kid in your neighborhood and they just went to sleep. It's dark out and you suddenly hear noises outside. You peek out the window and see a ,,https://drive.google.com/file/d/11Vs9sz9BDAkaj5QCxD927t-mz-VTFWXn/view?usp=sharing,gen_018,cat,Was there something scary outside in the dark? ,N,positive,2,5,
,,,,,,,,,,,
,HOME LIFE ,,,,,,,,,,
Scenario,Scenario,,Image ,Variable name,Ending word(s),Comprehension Question,Y/N,"Type of ending (positive, negative, or resilence) ",,,
Smelly lunch,"You get out your lunch at school in front of your friends. It smells very strong, as you notice your friends make faces. You tell your friends about what you're eating, and you feel",,https://drive.google.com/file/d/1Xy_Atc0CRVipJzZ4bR5RCYHdQORn6Yxp/view?usp=sharing,hom_023,proud,Are you embarrassed by your lunch? ,N,Positive,3,,
Parents at your game,"You have a sports game after school today and both your parents are attending. They're divorced and sometimes cause an embarrassing scene in public. During the game, you think about your ",You take a deep breath and re-focus on the game. You decide that you can't control your parents',https://drive.google.com/file/d/1frMl1pWcB38YI0T9s5Sqz_Pxip0Ge2Nl/view?usp=sharing,hom_005_r,parents; behavior,Are you able to concentrate on the game?,Y,Resilience ,3,,
Talking about the future,"You want to talk to someone about your plans for the future, but you don't think your parents will understand what you're worried about. You consider going to your mentor for advice, but you've never ask them for advice before. When you think about their reaction, you think they will probably be",,https://drive.google.com/file/d/1qKLzJvu3ftF-gQS35abj99xkrcgmZQX_/view?usp=sharing,hom_025,encouraging,Do you feel worried about talking to your mentor about your plans for the future? ,N,Positive,3,,
Hand-me-downs,"You are invited to a school dance by your crush. You can't afford something new to wear, so have to wear your older sibling's outfit. When thinking about everyone's opinion on you wearing hand-me-downs, you know you'll feel",,https://drive.google.com/file/d/1IGCUmxaQ4KuTOm8JOXB9j9H66jDnC7k5/view?usp=sharing,hom_026,confident,Are you worried about what others will think of your hand-me-down outfit? ,N,Positive,3,,
Loud home,"Your parent runs a daycare out of your home, so it is always loud when you get home from school. Your friend is coming over after school today to work on a group project. You think about how your friend is going to react to the noise, and you get",,https://drive.google.com/file/d/1ahnx3c5S7xhmW9qeHplPosctvWEMV4oh/view?usp=sharing,hom_033,worried,Are you calm about your friend coming over this afternoon?,N,Negative,3,,
Mentor ,"You invite your mentor to a school event this weekend. You're the only one of your friends with a mentor and are unsure of how others will percieve you. As you get ready for the event, you feel",,https://drive.google.com/file/d/1oGNnBFehUdYBlSikTmSsRaaBV3kbk94x/view?usp=sharing,hom_028,happy,Are you happy to have your mentor come to your school event? ,Y,Positive,3,,
Unable to Attend ,"Your friends ask you to go to an amusement park with them this weekend. It is really expensive and you know you won't be able to afford it. When you picture yourself telling your friends that you can't go, you feel","You think about it a little more, and realize that you have really nice friends. When you tell them, they will be",https://drive.google.com/file/d/18cLoBxquxdCG-Bu2BOxDQ5YPcrZOF1cn/view?usp=sharing,hom_024,insecure; understanding,Will your friends be upset that you can't go to the amusement park? ,N,Resilience ,3,,
The new recipe ,"You get an idea for a new recipe that involve ingredients you have never used before. You make it for your family. As everyone starts to eat, you feel",,https://drive.google.com/file/d/1vTuw-1aglVPbYE4oaEYbIP6LLuikDSFt/view?usp=sharing,hom_030,proud,Are you worried about what your family will think of your cooking? ,N,Positive,3,,
Family traditions,"Your family has traditions that your friends don't share. Today at school, everyone is sharing about their families' important traditions. As you prepare to speak, you feel",,https://drive.google.com/file/d/1DfBWMELn2zV6xPAO_pT9dvqDp7At1SZX/view?usp=sharing,hom_032,enthusiastic,Are you scared to talk about your family's traditions at school? ,N,Positive,3,,
Sharing the computer,"You and your sibling share a computer. You have an assignment due tonight but they're using the computer. When you think about completing your homework on time, you feel",,https://drive.google.com/file/d/1q13omJofjfnPiBpNlEwv-3_ZALGQEk6h/view?usp=sharing,hom_002,confident,Will you get your assignment done in time?,Y,Positive ,3,,
,Great job with those scenarios in your domain! Now you'll get to practice a few more scenarios that are from other domains. This will help you apply your flexible thinking skills to lots of different types of situations!,,,,,,,,,,
Breakout rooms,"During your English class over Zoom, you're placed into breakout rooms. When you start the discussion, your camera is on but everyone else leaves their cameras off and their mics muted. You think that the others will think that you are",,https://drive.google.com/file/d/1ZxZ_841mwj2NoY_cCWf9GHGmHmnONE6A/view?usp=sharing,aca_070,ready,Are the others in the class judging you?,N,positive,1,,
Number of likes on your post,"You have a lot of followers on social media. Your photo has only a few likes after a few hours, and usually by now you'd have a lot more reactions. You wonder if people aren't liking your post because you look","You remember why you posted your picture in the first place. After you think about it, you look at your picture you feel",https://drive.google.com/file/d/1xJHDDEq_Pcuyo7r3BJ3CX-cr5YI7YkrO/view?usp=sharing,sm_004,bad; better,Do you feel worried about having enough likes?,N,resilience,checking,1,
Upset parents ,"You notice your parents are upset but you don't know what's wrong. They give you a short answer when you try to talk with them at dinner. You consider why they're mad, and realize that it is not",,https://drive.google.com/file/d/1x8owNsmx6SS5vTpeM-BGHDCyAAOnwzbG/view?usp=sharing,hom_009,you,Are they upset with you?,N,Positive,1,5,
Cold day jog,"It's a cold day, and you are outside jogging. Your heart starts to beat quickly a few minutes in. You decide that this feeling is",,https://drive.google.com/file/d/1FS-osT_v7dH6pF1URFaIMXwErnTMFWu-/view?usp=sharing,phys_008,scary,Is your rapid heartbeat scary?,Y,negative,1,5,
Noise outside,You are babysitting a younger kid in your neighborhood and they just went to sleep. It's dark out and you suddenly hear noises outside. You peek out the window and see a ,,https://drive.google.com/file/d/11Vs9sz9BDAkaj5QCxD927t-mz-VTFWXn/view?usp=sharing,gen_018,cat,Was there something scary outside in the dark? ,N,positive,2,5,
,,,,,,,,,,,
,GENERAL,,,,,,,,,,
Scenario name,Scenario,,Image,Variable name,Ending word(s),Comprehension Question,Y/N,"Type of ending (positive, negative, or resilence) ",,,
A loud sound,"You are at home alone watching TV at night. You must have been dozing, because you suddenly wake up after hearing a loud noise. You look outside and see a",,https://drive.google.com/file/d/120LG9FRmhOL0LohCUFNnyly0pCow33wB/view?usp=sharing,gen_001,squirrel,Should you be frightened when you hear a noise at night?,N,positive,1,3,
Long car ride,"You're going on a long car ride with your family to visit family in another part of the state. After an hour, you notice your phone battery is almost dead and you don't have a charger. You think about the rest of the car ride and feel like you will be","After worrying about it for a few minutes, you realize that you can use this time to talk to your family. You feel ",https://drive.google.com/file/d/1hVhpy_8MrHNJ7D6TGUs42mXmkuk4t4W8/view?usp=sharing,gen_016,miserable; better,Will the car ride be ok without your phone?,Y,resilience,3,5,
Going to school,"You leave your house and get on the bus to go to school. About 10 minutes into the ride, you wonder whether you remembered to lock the door on your way out. As you get closer to school, you feel ",,https://drive.google.com/file/d/1L06ap5ra_s6MnwpMX2bIkWHmxWYaUpYT/view?usp=sharing,gen_003,relaxed,Are you very worried thinking about the front door? ,N,positive,1,3,
Thoughts at the train station,"You are at a metro stop waiting for a train. Standing by the edge, you realize you've never thought about how far a drop it is to the rails below. You are ",,https://drive.google.com/file/d/1ClAbuwZR2mkRJo44BvUWsBonRFgqp8o9/view?usp=sharing,gen_004,fascinated,Are you calm as you look at the rails below? ,Y,positive,1,3,
Switched off appliances,"You and your family are heading out of town for a few days. Your mom asks you to double-check that all the appliances in your house are turned off. As you close the door to your house, you feel",,https://drive.google.com/file/d/11L0gcPPltGMNDtkc_O6wRZAj_WWsbX7o/view?usp=sharing,gen_007,nervous,Are you worried about whether you turned off everything in the house? ,Y,negative,3,5,
