Broad Domain 1,Broad Domain 2,Broad Domain 3,MTM Title ,HD scenario body ,HD photo link,HD positive/adaptive THOUGHT,HD positive/adaptive THOUGHT,HD negative/maladaptive THOUGHT,HD tolerating negative or resilience THOUGHT,HD tolerating negative or resilience THOUGHT,HD positive/adaptive FEELING,HD positive/adaptive FEELING,HD negative/maladaptive FEELING,HD tolerating negative or resilience FEELING,HD tolerating negative or resilience FEELING,HD positive/adaptive BEHAVIOR,HD positive/adaptive BEHAVIOR,HD negative/maladaptive BEHAVIOR,HD tolerating negative or resilience BEHAVIOR,HD tolerating negative or resilience BEHAVIOR
Social Situations,Work/Career Development,,Working in Groups,"Your boss tells everyone that tomorrow you'll divide into small groups to plan out new work projects. She also says that you'll have to pick your group, but you realize you don't have any close friends in your workplace.",https://drive.google.com/file/d/10fLWhto09ulpTOoQ_oICa06UK6vWzttW/view?usp=sharing,I'll make good contributions to the group discussion. ,People will be happy to work with me. ,Everyone will pick their group before I get there and I won't be able to find a group. ,"I'll end up in a group somehow and it will be fine, even if it's not my first choice.","I might make a comment that the group thinks is dumb, but they'll probably forget what I said after the discussion. ",I'm excited to work with new people. ,I'm curious if I'll make new friends. ,I'm worried that I won't get into a good group. ,"Right now I’m anxious about not knowing who will be in my group, but this probably won’t feel like such a big deal tomorrow.","I'm nervous about talking about new projects with the my coworkers, but the nerves won't stop me from speaking. ",I'll make sure that I know what projects I'm interested in planning before tomorrow's meeting. ,"During the discussion, I'll do my best to include everyone in our group conversation. ",I'll pretend to be sick and just won't go to the discussion. ,"I'll want to skip, but I'll go anyway and cope with feeling anxious. ","I'll ask others to be in their group, even if I really don't want to. "
Social Situations,Work/Career Development,,Working in Groups,"Your boss tells everyone that tomorrow you'll divide into small groups to plan out new work projects. They also say that you'll have to pick your group, but you realize you don't have any close friends in your workplace.",https://drive.google.com/file/d/10fLWhto09ulpTOoQ_oICa06UK6vWzttW/view?usp=sharing,I'll find the right group for me.,There are lots of nice people in my workplace. ,No one will want to be in my group. ,"Everyone will decide they want to be with people they already know, but I understand that. ","People might disagree with my ideas, but I think we'll still have an interesting discussion. ",I feel driven to put my best work in. ,I am excited to make new friends.,I am nervous because I don't have any good ideas.,"I feel sad that no one knows me that well, but feel better thinking they will like me once they get to know me better. ","I am scared that my group will exclude me, but know that this discussion will only last for a few minutes. ",I will talk to the people in my workplace and ask to be in a group. ,I'll express how excited I am to get to know everyone. ,I'll go to the bathroom so that I don't have to ask anyone to be in their group. ,"I want to work alone, but give the group a try. ","I want to stay quiet, but decide to contribute. "
Social Situations,,,Spilled Coffee,"You and your friends are meeting for coffee. You go to the cafe and get coffee, and accidentally spill your coffee down the front of your new white shirt.",https://drive.google.com/file/d/1ijt0ecisBDCbnP9iQ5cHp7WQlGPwmTpO/view?usp=sharing,This has probably happened to a lot of people. ,My friends will get a kick out of this.,I will look clumsy in front of my friends. ,"My friends are embarrassed by me, but they won't remember this for very long.  ","I ruined the shirt, but now I have a reason to buy a new one.",I feel lucky I didn't drop the whole coffee. ,I'm confident that I will get the stain out.,I feel like a fool. ,"I'm mad that I wasted my money, but know that I'll be ok. ","I'm embarrassed that I have this stain on my white shirt, but no one was hurt and it's not a big deal. ",I laugh with my friends about my spill. ,I clean up and keep talking to my friends. ,I stay silent the rest of the time we're at the cafe. ,"I want to go home, but stay at the cafe. ","I feel like crying, but take a deep breath. "
Social Situations,Family & Home Life,,Shattered glass,"You are at a quiet restaurant with a lot of your family members for dinner. While taking a drink of your water, you accidently drop the glass on the floor and it shatters.",https://drive.google.com/file/d/1huKsrt0vscJdYRLnIRD8v8_YgIjZl1Tm/view?usp=sharing,I'm sure this isn't the first time this restaurant has had to deal with a broken glass.,I think about how I will help clean this up. ,I'm such a careless person.  ,"My clothes are soaking wet, but I can go to the bathroom and dry them off. ","The server is annoyed, but they will probably get over that feeling soon. ",I'm confident that the waitress will accept my apology.,I'm happy to be eating with my family. ,I'm embarrassed that I drew attention to myself. ," I feel like I ruined the evening, but everyone will forget about the broken glass. ","I feel guilty about having broken a glass, but know that I didn't do it on purpose. ",I ask if I can help clean up.,I apologize to the wait staff and thank them for their help. ,"When the server comes, I blame the spill on another family member. ","I want to cry, but take a deep breath and remind myself that this happens. ","I want to leave the restaurant, but stay and have a good time. "
Social Situations,Family & Home Life,,Shattered glass,"You are at a quiet restaurant with a lot of your family members for dinner. While taking a drink of your water, you accidently drop the glass on the floor and it shatters.",https://drive.google.com/file/d/1huKsrt0vscJdYRLnIRD8v8_YgIjZl1Tm/view?usp=sharing,I think about how everyone sometimes has clumsy moments. ,People in my family have dropped stuff at restaurants in the past. ,My family must be embarrassed by me. ,"The waiter will be irritated, but I'll apologize and offer to help clean up.","My family may be annoyed, but I can wait until they move on. ",I'm able to stay calm. ,I'm happy that the waiter doesn't seem to mind that much. ,I have a knot in my stomach after the whole restaurant looked at me. ,"I'm embarrassed that I dropped the glass, but know that people drop things all of the time. ","I feel bad, but remind myself that I'll forget about this in a few days. ",I offer to leave extra money for the tip. ,I offer to pick up overtime hours at my job and come back another day with money to replace the glass. ,I cry because I feel terrible. ,"I want to never come back to the restaurant, but if my family wants to eat here again it will be okay.","I want to cry, but decide that would not be helpful. "
Social Situations,,,Halloween party,"You are invited to a Halloween party with your coworkers and you're only close to a couple of people there. You decide to wear a costume. When you arrive, everyone looks at you. ",https://drive.google.com/file/d/1t_00NWomSsqhPeinAZhZcyx6Fzcn3uZD/view?usp=sharing,This is the best costume I've ever worn. ,I'm enjoying wearing this. ,The other people are judging me for wearing this costume. ,"I really stand out, but I like the way I look. ","I think that I made a huge mistake by wearing this, but realize that it's OK to wear what I want. ",I'm excited to show off this costume. ,I'm proud of myself for wearing something that I love. ,I feel really awkward while everyone stares at me. ,"I'm really anxious, but this feeling will pass. ","I'm worried that others are making fun of me, but if they are, that's their fault for judging me. ",I walk up to some friends and start a conversation. ,I'll post a picture of myself in this costume because I look great. ,I'll leave the party immediately. ,"I want to change into something else, but decide to wear what I came in. ","I want to throw this costume away and never think of tonight again, but then remember that my friend complimented me earlier on it. "
Social Situations,,,Halloween party,"You are invited to a Halloween party with your coworkers and you're only close to a couple of people there. You decide to wear a costume. When you arrive, everyone looks at you. ",https://drive.google.com/file/d/1t_00NWomSsqhPeinAZhZcyx6Fzcn3uZD/view?usp=sharing,I think this costume is fun. ,Everyone will love this costume. ,No one likes my costume. ,"I may have worn something too crazy, but I like it. ","Maybe I should have toned it down, but know that this is true to myself. ",I feel happy wearing what I love.,I feel so liberated wearing something so fun. ,I'm worried that others are making fun of me behind my back. ,"I'm really embarrassed that I stand out so much, but honestly people will forget about it in a few minutes. ","I worry about what others are thinking, but realize that I'm allowed to wear what makes me happy.",I will smile and wear my outfit proudly.,I'll start dancing because there's great music on. ,I want to go to the bathroom and try to tone down what I'm wearing. ,"I want to start crying, but then remind myself I did a great job on this costume. ","I want to ask someone if my costume is too much, but decide not to ask for opinions. "
Social Situations,,,Using the restroom,"You are at a restaurant with some friends and go to use the restroom. When you come back to the table your friends are at, they stop their conversation and it's silent. ",https://drive.google.com/file/d/12Y4uqZNuPSg8HgswTCK3obdaz50gCnDn/view?usp=sharing,I looked good in the mirror on my way out of the bathroom. ,My hair looks great today. ,I must look silly.,"You think they might have heard you going to the bathroom, but remind yourself that it isn’t a big deal. ","My friends might have been talking about me, but that doesn’t mean they were saying something bad. ",I'm so happy to be spending this time with this group. ,I'm excited to hear what they were talking about.,I feel targeted because everyone is looking at me. ,"I'm worried that they were talking about me, but I know they most likely were not. ","I'm anxious about what they were saying, but realize that they're probably quiet because I startled them. ",I'll make a joke with my friends. ,I'll ask what they were talking about in a nice way. ,I'll ask them defensively why they are so quiet. ,"I want to go back into the bathroom forever, but know that talking to my friends will make me feel better about the whole situation. ","I want to leave immediately, but I'll go back to my friends and focus on enjoying the good parts of the dinner. "
Social Situations,,,Using the restroom,"You are at a restaurant with some friends and go to use the restroom. When you come back to the table your friends are at, they stop their conversation and it's silent. ",https://drive.google.com/file/d/12Y4uqZNuPSg8HgswTCK3obdaz50gCnDn/view?usp=sharing,They didn't expect me to come back so soon. ,Everyone must be noticing my new outfit. ,Everyone is gossiping about me. ,"I might have something on my outfit, but I can go back to the bathroom and clean it off.","They might have been having a good time without me, but that doesn't mean they don't enjoy being my friends. ",I'm thankful for the friends that I have. ,I am interested in joining the conversation. ,I feel defensive. ,"I'm worried that they could hear me in the bathroom, but then remember that everyone uses the bathroom so it isn't a big deal.","I am uncomfortable being around them, but I know that these are my close friends and start to calm down. ",I'll smile at all of them. ,I'll make a joke to break the ice. ,I'll give them a weird look. ,"I want to head home early, but decide to stay as long as everyone else. ","I'll want to text on my phone to avoid talking to them, but remain engaged with my friends. "
Social Situations,Physical Health,,Giving a Presentation,"You have to give a presentation in a meeting today. When you stand up in front of the group, you feel your cheeks get hot and your hands start to tremble.",https://drive.google.com/file/d/1_2rE9XRzKQTqhk0TQjBqftLX-RvYtkqL/view?usp=sharing,It's normal to feel a little warm when you're anxious about presenting. ,I've done everything I can to prepare for this presentation. ,Everyone will see that my hands are shaking. ,"I want to sit back down, but decide to go forward with the presentation knowing my hard work will pay off. ","I want to cover my face, but know I can do this even if it's uncomfortable.",I'm relieved to know this topic well. ,I'm happy with how much I've prepared for this presentation. ,I'm worried that I'm going to pass out. ,"I'm nervous that people can see my hands shaking, but it's probably not as noticeable to them as it feels to me.","I'm scared that my cheeks feeling hot means that I'm going to faint, but I will take a few deep breaths and this feeling will pass. ",I smile and start my presentation. ,I speak with a strong voice.,I ask my boss if I can present another day. ,"I want to go to the bathroom and splash my face with water, but decide to refocus on my surroundings to relax and power through. ","I consider pretending that I'm sick so I don't have to present, but challenge myself to give the presentation anyway. "
Social Situations,Romantic Relationships,,Meeting someone new,"At a work party, your friend introduces you to an attractive friend of theirs you have not met before. The next morning, you notice that they sent you an email.",https://drive.google.com/file/d/1azOE2eRIrdOPl9AdAR61tTkqUFdsq0zB/view?usp=sharing,I think they want to get to know me.,They thought that I was enjoyable to talk to.,They probably meant to email someone else instead. ,"They may stop emailing me after I respond, but they're probably just really busy","They may want to just be my friend, and I'm okay with that. ",I feel flattered that they wanted to email me. ,I'm excited to read their response. ,I feel insecure about maintaining a conversation with them. ,"I'm unsure about the reason they emailed me, but realize it is just because they wanted to. ","I feel worried about what they think of me, but know that I can deal with not knowing. ",I make a joke in my response. ,I talk to my friend about how excited I am.,I ignore their email because I'm anxious about responding.,"I want to ask them why they emailed me, but I decide to just see how things play out.","I'm nervous about sending the perfect reply, but I decide to just be myself. "
Social Situations,,,Not a lot of likes,You decide to reply all to a department-wide email to share an idea. It's been a few hours and no one has responded to your suggestion yet. ,https://drive.google.com/file/d/1h6K5Zfme1ZXvFeEUrUxMpeqnVyoRZwcr/view?usp=sharing,Everyone must be really busy. ,I really like the idea I shared.,People probably think my idea is stupid.,"People might disagree with me, but I'm okay with that. ","Even if people weren't that interested in my idea, I am still glad I shared it.",I feel really proud of my idea. ,I feel happy to be trying new things. ,I feel humiliated.,"I'm frustrated that no one responded to my email, but then I remember that it's only been a few hours.","I feel disappointed not many people liked my idea, but they must just have different perspectives than me. ",I take a break and return to my email later. ,I don't let the lack of response get me down and go about my day. ,I email my friend separately to ask why they think no one has responded.,"I send the other emails I need to send, even though I'm worried about what people are thinking about me. ","I want to pretend that my idea was just a joke, but I fight the urge."
Social Situations,,,Not a lot of likes,You decide to reply all to a department-wide email to share an idea. It's been a few hours and no one has responded to your suggestion yet. ,https://drive.google.com/file/d/1h6K5Zfme1ZXvFeEUrUxMpeqnVyoRZwcr/view?usp=sharing,People haven't checked their email yet. ,I am proud of my idea.,People ignored the idea.,"My colleagues may not like my idea, and I can accept that. ","My suggestion wasn't the best, but I don't have to be perfect. ",I feel brave for sharing an idea to the whole department ,I'm happy engaging with my department.,I feel totally exposed.,"I'm embarrassed that no one liked my idea, but they'll probably forget about it soon. ","I feel disappointed to have not gotten a response, but people are probably still thinking about it. ","The next time my department emails me about an idea, I'll share it.  ",I continue my work without focusing on the email.  ,I dwell on the idea and sulk. ,"I sit and check if anyone has replied, but decide to go out and enjoy the day. ","I want to tell people to forget about my idea, but I leave it as is.  "
Social Situations,Work/Career Development,,Loud friend,"Your car broke down so a friend is dropping you off at a meeting. As they drop you off, they are really loud and everyone in there looks at you. ",https://drive.google.com/file/d/17cJiD1zpyqK4nBNN7ya1mfE9DQlKxJQm/view?usp=sharing,I'm lucky to have a friend who helps me with transportation.,I'm looking forward to this meeting. ,The people at the meeting are going to judge me.,"My immediate thought is that the people at the meeting will be mad at me, but I remind myself that I don't judge people for what their friends do.","We interrupted a lot of people by making so much noise, but they are not likely to remember it or think about it afterward.",I'm excited about this meeting. ,I'm eager to get to the meeting and see people. ,I'm so embarrassed by my friend.,"I'm instantly feeling ashamed of my loud friend, but remind myself that I can't control what they do. ","I'm nervous about what the people at the meeting might say, but they seem really nice and accepting. ",I walk over to the meeting room and start talking to people. ,I put my phone away so I'll be more willing to talk to people.,I go to the bathroom to avoid talking to people. ,"I want to avoid everyone around me, but remind myself that I'll have a better time if I talk to people.","I feel the urge to skip the meeting because I'm embarrassed, but I stay because going to this meeting is important. "
Social Situations,,,Loud friend,"Your car broke down so a friend is dropping you off at a meeting. As they drop you off, they are really loud and everyone in there looks at you. ",https://drive.google.com/file/d/17cJiD1zpyqK4nBNN7ya1mfE9DQlKxJQm/view?usp=sharing,It was nice not to have to take the bus. ,I think about what I want to talk about in the meeting today. ,These people will judge me because my friend is annoying.,"A lot of people noticed the noise we made and may have been annoyed, but it was just for a moment and wasn't a big deal. ","Some people probably do think my friend is rude, but I can't control what my friend does or how people feel. ",I'm energized because this meeting is usually interesting. ,I'm happy to have friends who are willing to help me out. ,I'm ashamed that my friend is so loud. ,"I'm really embarrassed, but remind myself that I can tolerate these feelings and they will pass quickly. ",I feel angry at my friend but remind myself that they are doing me a favor. ,I start getting my notes out for the meeting. ,I smile at my friend as I get out of the car. ,I avoid making eye contact with people. ,"I feel the urge to skip the meeting, but push myself to face my fears and go in. ","I want to keep apologizing to the people in the meeting until I'm sure they're not mad, but I decide that one time is enough. "
Social Situations,Family & Home Life,,Strong opinions,"Your partner has some strong opinions and you don't always agree with them. One evening, you invite a friend over for dinner and sense some possible tension. ",https://drive.google.com/file/d/1KeHog1u5MnwSfzyD9yBj4oIlp2YAyHwf/view?usp=sharing,We will be able to discuss the different opinions thoughtfully.,My friend will be my friend no matter what my partner thinks. ,My partner will say something that makes my friend hate me.,"Even if my partner say something that's upsetting, my friend and I can talk about it later.","If my partner says things that I don't agree with, they're still my partner and I love them. ",I'm happy to have my friend over for dinner. ,I'm calm as we sit and eat dinner together.,I'm worried that my partner will say something embarrassing.,"I'm scared that my partner will say something offensive, but know that what they say is not a reflection on me. ","I'm concerned that my friend will judge me for what my partner think, but am still happy we can get together and talk about it. ",I smile as my friend and my partner talk. ,I practice listening closely with an open mind. ,I snap at my partner and tell them to be quiet.,"I start to tell my partner not to say anything embarrassing in front of my friend, but take a deep breath instead. ","I start a text to cancel the dinner, but remind myself that I really want my friend and partner to get to know each other."
Social Situations,,,Sitting on the bus,You are sitting on the bus and see your friend get on. They walk past you and sit with another friend.,https://drive.google.com/file/d/1jV1VtMwZ0-4W-NqPIDF35GXXbAIeBiM8/view?usp=sharing,I'm able to sit here alone for the rest of the ride. ,My friend probably had something to talk about with the other friend. ,My friend walked past me on purpose. ,"It feels like my friend is mad at me, but they would have said something. ","I really don't like sitting alone, but I know I can handle this short bus ride. ",I'm excited to see my other friends and colleagues at work today.,I'm glad that this is a short bus ride. ,I'm annoyed with my friend right now. ,"I'm scared that people will judge me, but I remember that lots of people ride the bus alone.","I am anxious about why my friend walked past me, but I can ask them about it later.",I call out to my friend and smile. ,I pull out a book and read until I get to my stop. ,I start to cry. ,"I'll want to ignore my friend the rest of the day, but I decide to talk to them instead.","I want to put my head between my knees and disappear, but I take a deep breath and smile. "
Social Situations,,,Sitting on the bus,You are sitting on the bus and see your friend get on. They walk past you and sit with another friend.,https://drive.google.com/file/d/1jV1VtMwZ0-4W-NqPIDF35GXXbAIeBiM8/view?usp=sharing,I think about how I enjoy spending time by myself during my commute. ,Maybe they haven't had a chance to catch up in a while. ,My friend doesn't consider me their friend. ,"I feel left out, but I know there are times that not everyone can be included. ","I would rather have my friend next to me on this bus ride, but that's not always possible. ",I am courageous for sitting on my own.,I am happy that my friends are happy. ,I feel mad at my friend for not sitting with me. ,"I am annoyed that my friend doesn't want to sit with me, but I know that this situation will pass.","I am upset thinking that my friend is mad at me, but I know I should not assume the worst.",I say hello to my friend as they pass. ,I start to journal in my notebook. ,I get flustered and move further away from my friend. ,"I want to get mad and bring up the subject as soon as we get off of the bus, but I know that isn't right so I give my friend some time. ","I want to talk about this with my other friends, but decide to keep this to myself. "
