Name of Survey,Title,Doses,Subject,Text,Input type,Input type 2,Minimum,Maximum,Media,Items,ImageFramed,Timeout,ShowButtons,Answer,Notes or questions,Variable name,Conditions,Input Name (if you want to save it),CanBeFavorited
Mental Health and Treatment Questionnaire,Mental Health and Treatment Questionnaire,1,HD_Dose,How long have you been experiencing moderate-to-severe anxiety or depression symptoms?,Buttons,,,,,0::One week; 1::Between 1 week and 1 month; 2::Between 1-3 months; 3::Between 3-6 months; 4::Between 6-12 months; 5::Between 1-2 years; 6::Between 2-5 years; 7::Between 5-10 years; 8::More than 10 years; 99::Prefer not to answer,,,,,,,anxiety_or_depression; Unsure,length_anxiety_symptoms,
Mental Health and Treatment Questionnaire,Mental Health and Treatment Questionnaire,1,HD_Dose,How long have you been experiencing moderate-to-severe anxiety or depression symptoms?,Buttons,,,,,0::One week; 1::Between 1 week and 1 month; 2::Between 1-3 months; 3::Between 3-6 months; 4::Between 6-12 months; 5::Between 1-2 years; 6::Between 2-5 years; 7::Between 5-10 years; 8::More than 10 years; 99::Prefer not to answer,,,,,,,anxiety_or_depression; Yes,length_anxiety_symptoms,
MDIB_samplequestion,Interpretation Scale Sample Question,1,HD_Dose,"Instructions: Here are some descriptions of situations in which it is not quite clear what is happening. After each one,
you will see 3 possible explanations for the situation.
Please imagine yourself in each situation, then rate the extent to which you think each explanation would be likely to
be true if you found yourself in that situation.
Please provide a response for each of the 3 explanations under each question.",,,,,,,,,,,,,,,
MDIB_samplequestion,Interpretation Scale Sample Question,1,HD_Dose,"You hear a knock on the front door. When you open the door, no one is there. Why? \n\nThe person who knocked forgot something in their car, and they will be right back.",Buttons,,,,,0::Not at all likely; 1::A little likely; 2::Moderately likely; 3::Very likely; 4::Extremely likely; 99::Prefer not to answer,,,,,,,,,
MDIB_samplequestion,Interpretation Scale Sample Question,1,HD_Dose,"You hear a knock on the front door. When you open the door, no one is there. Why? \n\nSomeone is playing a joke on you and ran away after knocking.",Buttons,,,,,0::Not at all likely; 1::A little likely; 2::Moderately likely; 3::Very likely; 4::Extremely likely; 99::Prefer not to answer,,,,,,,,,
MDIB_samplequestion,Interpretation Scale Sample Question,1,HD_Dose,"You hear a knock on the front door. When you open the door, no one is there. Why? \n\nThe knock was from a delivery person who left after dropping off a package.",Buttons,,,,,0::Not at all likely; 1::A little likely; 2::Moderately likely; 3::Very likely; 4::Extremely likely; 99::Prefer not to answer,,,,,,,,,
MDIB,Movement Disorders Interpretation Scale,1,HD_Dose,"Instructions: Here are some descriptions of situations in which it is not quite clear what is happening. After each one,
you will see 3 possible explanations for the situation.
Please imagine yourself in each situation, then rate the extent to which you think each explanation would be likely to
be true if you found yourself in that situation.
Please provide a response for each of the 3 explanations under each question.",,,,,,,,,,,,,,,
MDIB,Movement Disorders Interpretation Scale,1,HD_Dose,"At the grocery store, you see a recent acquaintance but are unable to remember her name. Why? \n\nYou could not hear her name clearly the first time she said it.",Buttons,,,,,0::Not at all likely; 1::A little likely; 2::Moderately likely; 3::Very likely; 4::Extremely likely; 99::Prefer not to answer,,,,,,,,,
MDIB,Movement Disorders Interpretation Scale,1,HD_Dose,"At the grocery store, you see a recent acquaintance but are unable to remember her name. Why? \n\nYou are getting dementia from your disease.",Buttons,,,,,0::Not at all likely; 1::A little likely; 2::Moderately likely; 3::Very likely; 4::Extremely likely; 99::Prefer not to answer,,,,,,,,,
MDIB,Movement Disorders Interpretation Scale,1,HD_Dose,"At the grocery store, you see a recent acquaintance but are unable to remember her name. Why? \n\nIt is normal to forget the name of someone you have only met once.",Buttons,,,,,0::Not at all likely; 1::A little likely; 2::Moderately likely; 3::Very likely; 4::Extremely likely; 99::Prefer not to answer,,,,,,,,,
MDIB,Movement Disorders Interpretation Scale,1,HD_Dose,"While eating with your family at a local restaurant, your server rarely stops by your table to check on you. Why? \n\nThey are scared by your movements and avoiding you.",Buttons,,,,,0::Not at all likely; 1::A little likely; 2::Moderately likely; 3::Very likely; 4::Extremely likely; 99::Prefer not to answer,,,,,,,,,
MDIB,Movement Disorders Interpretation Scale,1,HD_Dose,"While eating with your family at a local restaurant, your server rarely stops by your table to check on you. Why? \n\nThe restaurant is under-staffed and the server is busy.",Buttons,,,,,0::Not at all likely; 1::A little likely; 2::Moderately likely; 3::Very likely; 4::Extremely likely; 99::Prefer not to answer,,,,,,,,,
MDIB,Movement Disorders Interpretation Scale,1,HD_Dose,"While eating with your family at a local restaurant, your server rarely stops by your table to check on you. Why? \n\nThe server is new and probably needs additional training.",Buttons,,,,,0::Not at all likely; 1::A little likely; 2::Moderately likely; 3::Very likely; 4::Extremely likely; 99::Prefer not to answer,,,,,,,,,
MDIB,Movement Disorders Interpretation Scale,1,HD_Dose,"You are playing a game for the first time with friends and new acquaintances. On your turn, you ask for a reminder of the rules, and the others become quiet. What are they thinking? \n\nThey are thinking that they also had a tough time learning this game at first.",Buttons,,,,,0::Not at all likely; 1::A little likely; 2::Moderately likely; 3::Very likely; 4::Extremely likely; 99::Prefer not to answer,,,,,,,,,
MDIB,Movement Disorders Interpretation Scale,1,HD_Dose,"You are playing a game for the first time with friends and new acquaintances. On your turn, you ask for a reminder of the rules, and the others become quiet. What are they thinking? \n\nThey are thinking of how best to explain the rules.",Buttons,,,,,0::Not at all likely; 1::A little likely; 2::Moderately likely; 3::Very likely; 4::Extremely likely; 99::Prefer not to answer,,,,,,,,,
MDIB,Movement Disorders Interpretation Scale,1,HD_Dose,"You are playing a game for the first time with friends and new acquaintances. On your turn, you ask for a reminder of the rules, and the others become quiet. What are they thinking? \n\nThey are thinking your disease makes you slow and wishing you had not been invited to play.",Buttons,,,,,0::Not at all likely; 1::A little likely; 2::Moderately likely; 3::Very likely; 4::Extremely likely; 99::Prefer not to answer,,,,,,,,,
MDIB,Movement Disorders Interpretation Scale,1,HD_Dose,"While cleaning up with a family member after dinner, you drop a glass and it shatters. Why? \n\nYour family member made a joke that distracted you while you were reaching for the glass.",Buttons,,,,,0::Not at all likely; 1::A little likely; 2::Moderately likely; 3::Very likely; 4::Extremely likely; 99::Prefer not to answer,,,,,,,,,
MDIB,Movement Disorders Interpretation Scale,1,HD_Dose,"While cleaning up with a family member after dinner, you drop a glass and it shatters. Why? \n\nThe glass was slippery after being washed.",Buttons,,,,,0::Not at all likely; 1::A little likely; 2::Moderately likely; 3::Very likely; 4::Extremely likely; 99::Prefer not to answer,,,,,,,,,
MDIB,Movement Disorders Interpretation Scale,1,HD_Dose,"While cleaning up with a family member after dinner, you drop a glass and it shatters. Why? \n\nYour disease is progressing faster than normal, and you should no longer help with chores.",Buttons,,,,,0::Not at all likely; 1::A little likely; 2::Moderately likely; 3::Very likely; 4::Extremely likely; 99::Prefer not to answer,,,,,,,,,
MDIB,Movement Disorders Interpretation Scale,1,HD_Dose,You are talking to a neighbor and have difficulty saying a word. What is your neighbor thinking? \n\nThey are thinking that something must be wrong with you.,Buttons,,,,,0::Not at all likely; 1::A little likely; 2::Moderately likely; 3::Very likely; 4::Extremely likely; 99::Prefer not to answer,,,,,,,,,
MDIB,Movement Disorders Interpretation Scale,1,HD_Dose,You are talking to a neighbor and have difficulty saying a word. What is your neighbor thinking? \n\nThey are thinking about the next thing they want to tell you.,Buttons,,,,,0::Not at all likely; 1::A little likely; 2::Moderately likely; 3::Very likely; 4::Extremely likely; 99::Prefer not to answer,,,,,,,,,
MDIB,Movement Disorders Interpretation Scale,1,HD_Dose,You are talking to a neighbor and have difficulty saying a word. What is your neighbor thinking? \n\nThey are trying to figure out which word you are trying to say so that they can help you.,Buttons,,,,,0::Not at all likely; 1::A little likely; 2::Moderately likely; 3::Very likely; 4::Extremely likely; 99::Prefer not to answer,,,,,,,,,
MDIB,Movement Disorders Interpretation Scale,1,HD_Dose,You receive an email from your bank that you forgot to pay a bill. What does this mean? \n\nYou should set up bill pay reminders - lots of people need reminders like this.,Buttons,,,,,0::Not at all likely; 1::A little likely; 2::Moderately likely; 3::Very likely; 4::Extremely likely; 99::Prefer not to answer,,,,,,,,,
MDIB,Movement Disorders Interpretation Scale,1,HD_Dose,You receive an email from your bank that you forgot to pay a bill. What does this mean? \n\nYou are no long fit to manage your own finances.,Buttons,,,,,0::Not at all likely; 1::A little likely; 2::Moderately likely; 3::Very likely; 4::Extremely likely; 99::Prefer not to answer,,,,,,,,,
MDIB,Movement Disorders Interpretation Scale,1,HD_Dose,You receive an email from your bank that you forgot to pay a bill. What does this mean? \n\nYou will have to pay a fee for late payment.,Buttons,,,,,0::Not at all likely; 1::A little likely; 2::Moderately likely; 3::Very likely; 4::Extremely likely; 99::Prefer not to answer,,,,,,,,,
MDIB,Movement Disorders Interpretation Scale,1,HD_Dose,Your doctor recommends a new type of exercise class to help your symptoms. You are hesitant. Why? \n\nYou will probably be bad at it and embarass yourself.,Buttons,,,,,0::Not at all likely; 1::A little likely; 2::Moderately likely; 3::Very likely; 4::Extremely likely; 99::Prefer not to answer,,,,,,,,,
MDIB,Movement Disorders Interpretation Scale,1,HD_Dose,Your doctor recommends a new type of exercise class to help your symptoms. You are hesitant. Why? \n\nYou are worried that it will be too expensive.,Buttons,,,,,0::Not at all likely; 1::A little likely; 2::Moderately likely; 3::Very likely; 4::Extremely likely; 99::Prefer not to answer,,,,,,,,,
MDIB,Movement Disorders Interpretation Scale,1,HD_Dose,"Your doctor recommends a new type of exercise class to help your symptoms. You are hesitant. Why? \n\nThe class is far away, and you are not sure you can make it on a regular basis.",Buttons,,,,,0::Not at all likely; 1::A little likely; 2::Moderately likely; 3::Very likely; 4::Extremely likely; 99::Prefer not to answer,,,,,,,,,
MDIB,Movement Disorders Interpretation Scale,1,HD_Dose,You receive an unexpected message from your doctor that they want to talk to you about starting a new medication. Why? \n\nA new medication that might help you was just approved by the FDA.,Buttons,,,,,0::Not at all likely; 1::A little likely; 2::Moderately likely; 3::Very likely; 4::Extremely likely; 99::Prefer not to answer,,,,,,,,,
MDIB,Movement Disorders Interpretation Scale,1,HD_Dose,"You receive an unexpected message from your doctor that they want to talk to you about starting a new medication. Why? \n\nYour symptoms are uncontrollable, and they do not know what else to try.",Buttons,,,,,0::Not at all likely; 1::A little likely; 2::Moderately likely; 3::Very likely; 4::Extremely likely; 99::Prefer not to answer,,,,,,,,,
MDIB,Movement Disorders Interpretation Scale,1,HD_Dose,You receive an unexpected message from your doctor that they want to talk to you about starting a new medication. Why? \n\nThe new medication may have fewer side effects than your current medication.,Buttons,,,,,0::Not at all likely; 1::A little likely; 2::Moderately likely; 3::Very likely; 4::Extremely likely; 99::Prefer not to answer,,,,,,,,,
MDIB,Movement Disorders Interpretation Scale,1,HD_Dose,"You ask your family member to go for a walk with you, but they do not want to go. Why? \n\nThey are tired.",Buttons,,,,,0::Not at all likely; 1::A little likely; 2::Moderately likely; 3::Very likely; 4::Extremely likely; 99::Prefer not to answer,,,,,,,,,
MDIB,Movement Disorders Interpretation Scale,1,HD_Dose,"You ask your family member to go for a walk with you, but they do not want to go. Why? \n\nThey have a prior commitment.",Buttons,,,,,0::Not at all likely; 1::A little likely; 2::Moderately likely; 3::Very likely; 4::Extremely likely; 99::Prefer not to answer,,,,,,,,,
MDIB,Movement Disorders Interpretation Scale,1,HD_Dose,"You ask your family member to go for a walk with you, but they do not want to go. Why? \n\nThey are embarrased to be seen with you because of the way you walk.",Buttons,,,,,0::Not at all likely; 1::A little likely; 2::Moderately likely; 3::Very likely; 4::Extremely likely; 99::Prefer not to answer,,,,,,,,,
MDIB,Movement Disorders Interpretation Scale,1,HD_Dose,"Your younger family member is applying for a job. You offer to help with the application, and they decline. Why? \n\nThey think your disease makes your opinion less relevant.",Buttons,,,,,0::Not at all likely; 1::A little likely; 2::Moderately likely; 3::Very likely; 4::Extremely likely; 99::Prefer not to answer,,,,,,,,,
MDIB,Movement Disorders Interpretation Scale,1,HD_Dose,"Your younger family member is applying for a job. You offer to help with the application, and they decline. Why? \n\nThey do not really want this job.",Buttons,,,,,0::Not at all likely; 1::A little likely; 2::Moderately likely; 3::Very likely; 4::Extremely likely; 99::Prefer not to answer,,,,,,,,,
MDIB,Movement Disorders Interpretation Scale,1,HD_Dose,"Your younger family member is applying for a job. You offer to help with the application, and they decline. Why? \n\nSeveral other people have already helped them, and they are ready to submit the application.",Buttons,,,,,0::Not at all likely; 1::A little likely; 2::Moderately likely; 3::Very likely; 4::Extremely likely; 99::Prefer not to answer,,,,,,,,,
MDIB,Movement Disorders Interpretation Scale,1,HD_Dose,A person in the grocery store stares at you blankly as you stumble and knock over a display. What are they thinking? \n\nThey are thinking that you must have mis-stepped which can happen to anyone.,Buttons,,,,,0::Not at all likely; 1::A little likely; 2::Moderately likely; 3::Very likely; 4::Extremely likely; 99::Prefer not to answer,,,,,,,,,
MDIB,Movement Disorders Interpretation Scale,1,HD_Dose,A person in the grocery store stares at you blankly as you stumble and knock over a display. What are they thinking? \n\nThey are thinking about their grocery list and did not notice.,Buttons,,,,,0::Not at all likely; 1::A little likely; 2::Moderately likely; 3::Very likely; 4::Extremely likely; 99::Prefer not to answer,,,,,,,,,
MDIB,Movement Disorders Interpretation Scale,1,HD_Dose,A person in the grocery store stares at you blankly as you stumble and knock over a display. What are they thinking? \n\nThey are thinking that something is wrong with you.,Buttons,,,,,0::Not at all likely; 1::A little likely; 2::Moderately likely; 3::Very likely; 4::Extremely likely; 99::Prefer not to answer,,,,,,,,,
MDIB,Movement Disorders Interpretation Scale,1,HD_Dose,"While eating breakfast, you cough while trying to swallow. Why? \n\nYou took a bite that was too large.",Buttons,,,,,0::Not at all likely; 1::A little likely; 2::Moderately likely; 3::Very likely; 4::Extremely likely; 99::Prefer not to answer,,,,,,,,,
MDIB,Movement Disorders Interpretation Scale,1,HD_Dose,"While eating breakfast, you cough while trying to swallow. Why? \n\nYou have lost your ability to swallow and will soon have to get a feeding tube.",Buttons,,,,,0::Not at all likely; 1::A little likely; 2::Moderately likely; 3::Very likely; 4::Extremely likely; 99::Prefer not to answer,,,,,,,,,
MDIB,Movement Disorders Interpretation Scale,1,HD_Dose,"While eating breakfast, you cough while trying to swallow. Why? \n\nBecause of your disease, it has become more difficult for your body to cooridnate swallowing.",Buttons,,,,,0::Not at all likely; 1::A little likely; 2::Moderately likely; 3::Very likely; 4::Extremely likely; 99::Prefer not to answer,,,,,,,,,
BBSIQ,General Interpretation Scale,1,HD_Dose,"Instructions: In this section, 14 situations are presented in which it is not quite clear what is happening. Please rate
the extent to which you think each of the three explanations for a situation would be likely to be true if you found
yourself in that situation. Do not worry if your ratings appear to be different from your previous answers, and please
do not change any of your original answers.",,,,,,,,,,,,,,,
BBSIQ,General Interpretation Scale,1,HD_Dose,"You have visitors over for dinner, and they leave sooner than expected. Why? \n\nThey did not wish to outstay their welcome.",Buttons,,,,,0::Not at all likely; 1::A little likely; 2::Moderately likely; 3::Very likely; 4::Extremely likely; 99::Prefer not to answer,,,,,,,,,
BBSIQ,General Interpretation Scale,1,HD_Dose,"You have visitors over for dinner, and they leave sooner than expected. Why? \n\nThey have another pressing engagement to go to.",Buttons,,,,,0::Not at all likely; 1::A little likely; 2::Moderately likely; 3::Very likely; 4::Extremely likely; 99::Prefer not to answer,,,,,,,,,
BBSIQ,General Interpretation Scale,1,HD_Dose,"You have visitors over for dinner, and they leave sooner than expected. Why? \n\nThey did not enjoy the visit and were bored with your company.",Buttons,,,,,0::Not at all likely; 1::A little likely; 2::Moderately likely; 3::Very likely; 4::Extremely likely; 99::Prefer not to answer,,,,,,,,,
BBSIQ,General Interpretation Scale,1,HD_Dose,You feel short of breath. Why? \n\nYou are developing the flu.,Buttons,,,,,0::Not at all likely; 1::A little likely; 2::Moderately likely; 3::Very likely; 4::Extremely likely; 99::Prefer not to answer,,,,,,,,,
BBSIQ,General Interpretation Scale,1,HD_Dose,You feel short of breath. Why? \n\nYou are about to suffocate or stop breathing.,Buttons,,,,,0::Not at all likely; 1::A little likely; 2::Moderately likely; 3::Very likely; 4::Extremely likely; 99::Prefer not to answer,,,,,,,,,
BBSIQ,General Interpretation Scale,1,HD_Dose,"You feel short of breath. Why? \n\nYou are physically ""out of shape.""",Buttons,,,,,0::Not at all likely; 1::A little likely; 2::Moderately likely; 3::Very likely; 4::Extremely likely; 99::Prefer not to answer,,,,,,,,,
BBSIQ,General Interpretation Scale,1,HD_Dose,Your vision has become slightly blurred. Why? \n\nYou have strained your eyes slightly.,Buttons,,,,,0::Not at all likely; 1::A little likely; 2::Moderately likely; 3::Very likely; 4::Extremely likely; 99::Prefer not to answer,,,,,,,,,
BBSIQ,General Interpretation Scale,1,HD_Dose,Your vision has become slightly blurred. Why? \n\nYou need to get glasses or change your existing glasses.,Buttons,,,,,0::Not at all likely; 1::A little likely; 2::Moderately likely; 3::Very likely; 4::Extremely likely; 99::Prefer not to answer,,,,,,,,,
