Broad Domain 1,Broad Domain 2,Broad Domain 3,MTM Title ,PD scenario body,PD scenario body #2 (negation scenarios only),PD comprehension question,PD correct response,PD incorrect response,PD photo link,Letters Missing,Occurrence
Family & Home Life,Work/Career Development,,Others' Opinions,"You were denied a promotion this year and know that your friend was rooting for you to get a promotion. They frown when you tell them about not getting one. You tell them that you worked extremely hard despite not getting a promotion, and they are proud of the effort you gave throughout the year.",N/A,Is your friend disappointed that you did not get the promotion?,No,Yes,https://drive.google.com/file/d/1WzyVq9WXRsCbwmV-3XbVYvTo1EVSJtPA/view?usp=sharing,1,1
Family & Home Life,Work/Career Development,,New Experience,"You apply for a new job in a different state, but your entire family lives in the state you're currently in. You think about how your family will react when you tell them your decision and they may not like the idea of you leaving. As you imagine telling them, you feel excited.",N/A,Are you worried about telling your family that you want to work and live in a different state?,No,Yes,https://drive.google.com/file/d/1mfPOr__w6g_DX68Qv4rp11wDL15AzfTN/view?usp=sharing,1,1
Family & Home Life,,,Noises in the Night ,"You are home alone and it's night time. You hear a loud noise outside. You think about what it can be, and think it is your neighbors.",N/A,Should you be worried about the loud noise? ,No,Yes,https://drive.google.com/file/d/1bKVpQyIiNjcuRjuOIeMS22QHrXDyOtVu/view?usp=sharing,1,1
Family & Home Life,Work/Career Development,,Loud Music,Your significant other is currently playing upbeat music very loudly and you need to prepare for an important presentation. You don't want them to think you're rude if you ask them to turn down the music so that you can prepare. You approach them and feel nervous.,You take a deep breath and your significant other responds. You ask them to turn down the music and they apologize.,Was your significant other upset when you asked them to turn down the music?,No,Yes,https://drive.google.com/file/d/1AZk7owEM2J5V91afv56x1rxdom3zjESu/view?usp=sharing,1,1
Family & Home Life,Social Situations,,Job Hiatus,Your family expects you to get promoted at your job. You haven't told them yet that you actually want to take a few years off to travel. You think about telling them and feel anxious.,"You decide to tell them anyway. When you tell them your plans, you feel relieved. ",Do you feel better after talking to your family about your plans? ,Yes,No,https://drive.google.com/file/d/13CDCbAQHVFUfq-ABQrH3D3AW3wIvv_wa/view?usp=drive_link,1,1
Family & Home Life,Mental Health,,Heading out of Town,"You are heading out of town for a few days. You decide to double-check that all the appliances in your house are turned off. As you close the door to your house, you feel nervous.",N/A,Are you worried about whether you turned off everything in the house? ,Yes,No,https://drive.google.com/file/d/11L0gcPPltGMNDtkc_O6wRZAj_WWsbX7o/view?usp=sharing,1,1
Family & Home Life,,,Making a Good Impression,"You've never met your significant other's colleagues. They have just told you their colleagues have invited you to dinner tonight, and your significant other mentions that they can be critical. When you think about meeting their colleagues, your anxiety is tolerable.",N/A,Are you able to tolerate your anxiety?,Yes,No,https://drive.google.com/file/d/1AUm6MuJQQooKytu1EutxJCh8oe5n5jCG/view?usp=drive_link,1,1
Family & Home Life,Mental Health,,Opposing Opinions ,"Your family has strong opinions that you don't always agree with. As you listen to your family talk, you feel that you are pretty different from them. You feel having your own unique views is okay.",N/A,Is it alright to have different views from your family? ,Yes,No,https://drive.google.com/file/d/1z-OZ5Wr0EatO5q1bpsB0G3Xv11wj5Z46/view?usp=sharing,1,1
Family & Home Life,Work/Career Development,,Prospective Excitement,"You'd like to take some time off to travel after a long and stressful year. Your family expects you to work more hours to help with finances, and you don't want to let them down. When considering your plans for the end of the year, you feel excited.",,Are you anxious about your plans for the end of the year?,No,Yes,https://drive.google.com/file/d/15BOnlJB7SXDWnFaZP_Cm6vzosTdkmVsp/view?usp=sharing,1,1
Family & Home Life,Social Situations,,Introducing Your Family to Someone New,"You are at your friend's house for dinner and they ask you about your parents. You're not sure how to answer because your parents are divorced, and you haven't seen your mother for a long time. You think about what you'll say, and feel confident.",,Are you able to talk about your divorced parents?,Yes,No,https://drive.google.com/file/d/12GoUJ2fDe6vQ9TyT-392buyAyowwLHLx/view?usp=drive_link,1,1
Family & Home Life,,,Upset Sibling,"When you call one of your siblings they seem upset but you don't know what's wrong. They give you a short answer when you try to talk with them about it. You consider why they're mad, and realize that it is not you.",,Are they upset with you?,No,Yes,https://drive.google.com/file/d/1LZnhgjX_Ooy4zJ7r99Iydqi6bvIOcszd/view?usp=sharing,1,1
Family & Home Life,Social Situations,,Cultural Family Celebrations,"Your colleagues ask you to go to a conference, but it's the night of an important cultural celebration for your family. You are looking forward to the celebration with your family, but don't want your colleagues to think you're different. As you think about telling your colleagues, you realize that your culture is  important.",,Are you embarrassed to tell your colleagues that you can't go to the conference?,No,Yes,https://drive.google.com/file/d/1mnjPZpYIVahZEm1gr4Zu9gKZfMCjl2Tk/view?usp=sharing,1,1
Family & Home Life,Social Situations,,Guest in a Bilingual Home,"You are having dinner with a coworker. While you're eating dinner together, you take a phone call from a family member and you switch back and forth between English and another language. You never told your coworker that your family members are bilingual. You think about your coworker's reaction, and think that she'll think it is interesting.",,Is your coworker judgmental of your bilingual family?,No,Yes,https://drive.google.com/file/d/1_A0eQ43WrPwj-TvA1SvXWjberVL9FbeG/view?usp=drive_link,1,1
Family & Home Life,Mental Health,,Birthday Jitters,"Your friends are organizing a birthday party for you at their home. They invited a lot of people who will all be there for you. When you think about all of the people coming, you feel nervous.",You remember they are all coming to celebrate you. This makes you feel excited.,Are you excited about all the attention you will receive?,Yes,No,https://drive.google.com/file/d/1UoBTJwOaRbMpWrYnOWNPOBzR-axREE4s/view?usp=sharing,1,1
Family & Home Life,Social Situations,,Parents Visiting ,"You are hosting a baby shower for a family member today and both the parents of the mom-to-be are attending. They're divorced and sometimes cause an embarrassing scene in public. During the shower, you think about her parents.",You take a deep breath and re-focus on hosting the shower. You decide that you can't control her parents' behavior.,Are you able to concentrate on the shower?,Yes,No,https://drive.google.com/file/d/1ii9gWhb1eIlxBuU3IxPJk0q_7S0P3KqE/view?usp=sharing,1,1
Family & Home Life,,,Write Your Own,,,,,,,2,8
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,write your own,0
,,,,,,,,,,write your own,0
,,,,,,,,,,write your own,0
Finances,Work/Career Development,Mental Health,Applying for a Grant,"You want to start a new initiative in your office, so you apply for a grant for funding. Without this funding, you won't be able to move forward with your initiative, but you don't know if your proposal is good enough. You think you won't get the funding. ",N/A,Are you able to start this initiative?,No,Yes,https://drive.google.com/file/d/1ukTeswERZcv2VvawZpW961W0jlu_DqhX/view?usp=sharing,1,1
Finances,Social Situations,,Dinner Plans,"Some friends have reached out to you about going out to dinner for a friend's birthday. You've had some unforseen expenses this month, and you're worried about being able to afford a nice dinner. You decide that it is okay to miss one dinner, and let them know you'll catch up with them next time.",N/A,Are you upset about missing dinner?,No,Yes,https://drive.google.com/file/d/1jiM03nhxntGy1OgkpLVXqeBBwMsUgZ5T/view?usp=sharing,1,1
Finances,Social Situations,,Party Outfit,"You have a birthday party to go to, and your friends are discussing when they want to go shopping for outfits. Money is tight for you at the moment, and you're worried about being able to afford a new outfit for one event. You decide to wear something already in your closet, and you feel satisfied.",N/A,Did you need to spend money on a new outfit?,No,Yes,https://drive.google.com/file/d/18egshSZOxNQd_tYNAeaDqytaOWFm2FuV/view?usp=sharing,1,1
Finances,,,Attending a Show,"One of your favorite celebrities is doing a show near you, and you've been looking at tickets. Tickets for the show are more than you expected, and your paychecks haven't been as much as you were hoping. You decide that it is valid to treat yourself to something that makes you happy, and purchase the tickets. ",N/A,Is it okay to spend money on the tickets?,Yes,No,https://drive.google.com/file/d/1eIU_nKJ0QOc8XPy4BK5sTlOzdsWp62uQ/view?usp=sharing,1,1
Finances,,,Show Opportunity,"One of your favorite celebrities is doing a show near you, and you've been looking at tickets. Tickets for the show are more than you expected, and your paychecks haven't been as much as you were hoping. You decide that saving up is more important, and know that there will be another show in your area later for you to attend.",N/A,Are you upset about not going to the show?,No,Yes,https://drive.google.com/file/d/1eIU_nKJ0QOc8XPy4BK5sTlOzdsWp62uQ/view?usp=sharing,1,1
