Broad Domain 1,Broad Domain 2,Broad Domain 3,Hoos TC Title,Spanish scenario body,Old Photo Link,New Photo Link,Spanish  positive/adaptive THOUGHT,Spanish  positive/adaptive THOUGHT,Spanish  negative/maladaptive THOUGHT,Spanish  tolerating negative or resilience THOUGHT,Spanish  tolerating negative or resilience THOUGHT,Spanish  positive/adaptive FEELING,Spanish  positive/adaptive FEELING,Spanish  negative/maladaptive FEELING,Spanish  tolerating negative or resilience FEELING,Spanish  tolerating negative or resilience FEELING,Spanish  positive/adaptive BEHAVIOR,Spanish  positive/adaptive BEHAVIOR,Spanish  negative/maladaptive BEHAVIOR,Spanish  tolerating negative or resilience BEHAVIOR,Spanish  tolerating negative or resilience BEHAVIOR
Situaciones Sociales,,,Fiesta de Halloween,"Estás invitado a una fiesta de Halloween con tus compañeros de trabajo y allí solo estás cerca de un par de personas. Decides usar un disfraz. Cuando llegas, todos te miran. ",https://drive.google.com/file/d/1unPUQT6-D57bq5HZZFw0EFQbctkV94eC/view?usp=sharing,https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/halloween_1.jpg,Este es el mejor disfraz que he usado.,Estoy disfrutando usando esto.,Las otras personas me están juzgando por usar este disfraz.,"Realmente destaco, pero me gusta mi apariencia. ","Creo que cometí un gran error al usar esto, pero me doy cuenta de que está bien usar lo que quiero. ",Estoy emocionado de mostrar este disfraz.,Estoy orgulloso de mí mismo por usar algo que amo.,Me siento realmente incómodo mientras todos me miran fijamente.,"Estoy muy ansioso, pero este sentimiento pasará. ","Me preocupa que los demás se burlen de mí, pero si lo hacen, es su culpa por juzgarme. ",Me acerco a algunos amigos y comienzo una conversación.,Publicaré una foto mía con este disfraz porque me veo genial.,Dejaré la fiesta inmediatamente.,"Quiero cambiarme y ponerme otra cosa, pero decido usar lo que entré. ","Quiero tirar este disfraz y no volver a pensar en esta noche, pero luego recuerdo que mi amigo me felicitó antes por ello. "
Situaciones Sociales,,,Fiesta de Halloween,"Estás invitado a una fiesta de Halloween con tus compañeros de trabajo y allí solo estás cerca de un par de personas. Decides usar un disfraz. Cuando llegas, todos te miran. ",https://drive.google.com/file/d/1unPUQT6-D57bq5HZZFw0EFQbctkV94eC/view?usp=sharing,https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/halloween_1.jpg,Creo que este disfraz es divertido.,A todos les encantará este disfraz.,A nadie le gusta mi disfraz.,"Puede que haya usado algo demasiado loco, pero me gusta. ","Tal vez debería haberlo suavizado, pero sé que esto es cierto para mí. ",Me siento feliz usando lo que amo.,Me siento tan liberada usando algo tan divertido.,Me preocupa que otros se burlen de mí a mis espaldas.,"Me da mucha vergüenza destacar tanto, pero honestamente la gente lo olvidará en unos minutos. ","Me preocupa lo que piensen los demás, pero me doy cuenta de que puedo usar lo que me hace feliz.",Sonreiré y usaré mi atuendo con orgullo.,Empezaré a bailar porque hay buena música.,Quiero ir al baño y tratar de bajar el tono de lo que llevo puesto.,"Quiero empezar a llorar, pero luego recordarme que hice un gran trabajo con este disfraz. ","Quiero preguntarle a alguien si mi disfraz es demasiado, pero decido no pedir opiniones. "
Situaciones Sociales,,,Usando el baño,"Estás en un restaurante con unos amigos y vas al baño. Cuando regresas a la mesa en la que están tus amigos, dejan de hablar y se queda en silencio. ",https://drive.google.com/file/d/12Y4uqZNuPSg8HgswTCK3obdaz50gCnDn/view?usp=sharing,https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/dinnerrest.jpg,Me veía bien en el espejo al salir del baño.,Mi cabello luce genial hoy.,Debo parecer tonto.,"Crees que es posible que te hayan oído yendo al baño, pero recuerda que no es gran cosa. ","Puede que mis amigos hayan estado hablando de mí, pero eso no significa que estuvieran diciendo algo malo. ",Estoy muy feliz de pasar este tiempo con este grupo.,Estoy emocionado de escuchar de qué estaban hablando.,Me siento atacado porque todos me miran.,"Me preocupa que estuvieran hablando de mí, pero sé que lo más probable es que no. ","Estoy ansioso por lo que estaban diciendo, pero me doy cuenta de que probablemente están callados porque los asusté. ",Haré una broma con mis amigos.,Preguntaré de qué estaban hablando de una manera agradable.,Les preguntaré a la defensiva por qué están tan callados.,"Quiero volver al baño para siempre, pero sé que hablar con mis amigos me hará sentir mejor con toda la situación. ","Quiero irme de inmediato, pero volveré con mis amigos y me concentraré en disfrutar las partes buenas de la cena. "
Situaciones Sociales,,,Usando el baño,"Estás en un restaurante con unos amigos y vas al baño. Cuando regresas a la mesa en la que están tus amigos, dejan de hablar y se queda en silencio. ",https://drive.google.com/file/d/12Y4uqZNuPSg8HgswTCK3obdaz50gCnDn/view?usp=sharing,https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/dinnerrest.jpg,No esperaban que volviera tan pronto.,Todos deben estar notando mi nuevo atuendo.,Todo el mundo está chismeando sobre mí.,"Puede que tenga algo en mi ropa, pero puedo volver al baño y limpiarlo.","Puede que se lo hayan pasado bien sin mí, pero eso no significa que no disfruten ser mis amigos. ",Estoy agradecido por los amigos que tengo.,Estoy interesado en unirme a la conversación.,Me siento a la defensiva.,"Me preocupa que puedan oírme en el baño, pero recuerda que todos usan el baño, así que no es gran cosa.","Me siento incómodo estando cerca de ellos, pero sé que son mis amigos cercanos y empiezo a calmarme. ",Les sonreiré a todos.,Haré una broma para romper el hielo.,Les daré una mirada rara.,"Quiero regresar a casa temprano, pero decido quedarme tanto tiempo como los demás. ","Querré enviarles mensajes de texto a mi teléfono para evitar hablar con ellos, pero seguir interactuando con mis amigos. "
Salud Física,Académicos/Trabajo/Desarrollo Profesional,,Subiendo escaleras,"Te estás reuniendo con tu jefe. Para llegar a tiempo, simplemente subió dos tramos de escaleras rápidamente y sintió que su corazón latía muy rápidamente.",https://drive.google.com/file/d/1l0VcV571sh8CPMn2No5S-IgUUDRsgLq_/view?usp=sharing,https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/stairs_1.jpg,Estoy emocionado por la reunión.,Subí esas escaleras muy rápido.,¿Estoy sufriendo un infarto?,"Da miedo sentir mi corazón latiendo rápido, pero sé que todo terminará pronto. ",Mi jefe podría notar lo sin aliento que estoy y está bien si lo hace.,Estoy feliz de haber llegado a tiempo a la reunión.,Me siento emocionado ahora que mi sangre está bombeando.,Me preocupa que haya algo realmente mal en mí.,"Me da vergüenza quedarme sin aliento, pero puedo concentrarme en lo que mi jefe tiene que decir. ","Me preocupa que algo esté mal conmigo, pero me recuerdo a mí mismo que es normal sentirme sin aliento después de subir un montón de escaleras. ",Respiro profundamente unas cuantas veces.,Tomo unos sorbos de mi botella de agua.,Empiezo a buscar síntomas de un ataque cardíaco en línea para ver si me estoy muriendo.,"Siento la necesidad de decirle a mi jefe que algo anda realmente mal conmigo, pero recordarme a mí mismo que en realidad estoy bien. ","Quiero entrar en pánico, pero recuerdo que en realidad es solo la reacción de mi cuerpo al subir las escaleras rápidamente. "
Situaciones Sociales,Salud Física,,Dando una presentación,"Tienes que hacer una presentación en una reunión hoy. Cuando te paras frente al grupo, sientes que tus mejillas se calientan y tus manos empiezan a temblar.",https://drive.google.com/file/d/1_2rE9XRzKQTqhk0TQjBqftLX-RvYtkqL/view?usp=sharing,https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/presentation.png,Es normal sentir un poco de calor cuando estás ansioso por hacer una presentación.,He hecho todo lo que he podido para prepararme para esta presentación.,Todos verán que me tiemblan las manos.,"Quiero volver a sentarme, pero decido seguir adelante con la presentación sabiendo que mi arduo trabajo dará sus frutos. ","Quiero cubrirme la cara, pero sé que puedo hacerlo aunque sea incómodo.",Me alivia conocer bien este tema.,Estoy contento con lo mucho que me he preparado para esta presentación.,Me preocupa que me vaya a desmayar.,"Me pone nervioso que la gente pueda ver que me tiemblan las manos, pero probablemente no lo noten tanto como a mí.","Tengo miedo de que sentir calor en las mejillas signifique que me voy a desmayar, pero respiraré profundamente unas cuantas veces y esta sensación pasará. ",Sonrío y comienzo mi presentación.,Hablo con voz fuerte.,Le pregunto a mi jefe si puedo presentarme otro día.,"Quiero ir al baño y mojarme la cara con agua, pero decido volver a concentrarme en mi entorno para relajarme y poder. ","Considero fingir que estoy enfermo para no tener que presentar, pero me reto a mí mismo a hacer la presentación de todos modos. "
Salud Física,,,Nuevo mercado,Estás en una nueva tienda de comestibles y buscas pan. De repente notas que tu corazón late rápidamente y con fuerza.,https://drive.google.com/file/d/1ZAftU_pXDRMyfkE86fy5U3rPg0tTi1hz/view?usp=sharing,https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/grocerystore2.jpg,Es sorprendente la cantidad de opciones de comida diferentes que hay en esta tienda de comestibles.,Mi corazón debe estar latiendo más rápido porque camino muy rápido por los pasillos.,¡Me va a dar un infarto!,"Incluso si esta sensación en mi pecho es realmente incómoda, sé que desaparecerá pronto. ","Me pregunto si hay algún problema con mi corazón, pero puedo obtener ayuda y resolver el problema si es necesario. ",Estoy emocionado de estar en una nueva tienda.,Soy feliz buscando mis comidas favoritas en un lugar nuevo.,Tengo miedo de que mi corazón se acelere porque algo anda realmente mal.,"Estoy preocupado por mi corazón, pero luego me recuerdo a mí mismo que todo estará bien. ","Estoy nervioso por mi salud, pero me doy cuenta de que mi corazón probablemente late porque estoy emocionado de estar en un lugar nuevo. ",Le pregunto a un empleado dónde está el pan.,Noto la sensación en mi pecho y sigo buscando el pan.,Me quedo inmóvil y empiezo a entrar en pánico.,Empiezo a irme pero me doy la vuelta y me digo a mí mismo que puedo manejarlo.,"Me siento incómodo, pero respiro lentamente unas cuantas veces y sigo comprando."
Salud Física,,,Nuevo mercado,Estás en una nueva tienda de comestibles y buscas pan. De repente notas que tu corazón late rápidamente y con fuerza.,https://drive.google.com/file/d/1ZAftU_pXDRMyfkE86fy5U3rPg0tTi1hz/view?usp=sharing,https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/grocerystore2.jpg,Me gusta el desafío de encontrar mis comidas favoritas en esta nueva tienda.,Probablemente siento que mi corazón late porque estoy emocionado de probar esta nueva tienda.,¡Debo estar teniendo un ataque de pánico!,"Los latidos de mi corazón me distraen, pero me concentraré en mi lista de compras para mantenerme firme. ","Me pregunto si estoy realmente enfermo, pero sé que este sentimiento no durará para siempre. ",Estoy feliz de haber decidido finalmente venir aquí.,Estoy emocionado de ver lo que tiene esta nueva tienda de comestibles.,"Tengo miedo de que mi corazón palpite, significa que algo malo está sucediendo. ","Tengo miedo de este sentimiento en mi pecho, pero pienso en todas las veces que mi corazón latió con fuerza y ​​terminé bien. ","Estoy nervioso por mi corazón, pero recuerda que a veces mi corazón late rápido cuando estoy emocionado. ",Le pido a un empleado que me ayude a encontrar el pan.,Sigo caminando por los pasillos.,Me llevo al hospital inmediatamente.,Considero salir de la tienda pero decido que puede calmarme para terminar esta tarea.,No me gusta esta sensación pero empiezo a buscar buenas ventas.
Salud Física,,,Reírse de un chiste,"Un amigo cuenta un chiste gracioso y te empiezas a reír mucho. Mientras te ríes, sientes una opresión incómoda en el pecho que nunca antes habías sentido.  ",https://drive.google.com/file/d/1K45MgxXqPYoGwF_Ck9c26oX8B4Q6Oafv/view?usp=sharing,https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/man.jpg,Debe haber sido una broma muy divertida.,Nunca me había reído tanto de un chiste que me había contado mi amigo.,Algo está mal conmigo.,"Esta tensión da un poco de miedo, pero ahora puedo disfrutar de la risa y ver si todavía me molesta más tarde. ","Realmente no me gusta este sentimiento, pero puedo tolerarlo. ",Estoy feliz de que mis amigos sean tan divertidos.,¡Estoy tan sorprendido por ese chiste!,Estoy aterrorizada por la opresión en mi pecho.,"Me preocupa la opresión en el pecho, pero creo que desaparecerá pronto. ","Estoy ansiosa por este sentimiento en mi pecho, pero sé que es solo por reírme mucho. ",Respiro hondo y le digo a mi amigo que fue una buena broma.,Tomo un sorbo de agua y continúo la conversación.,Salgo de la habitación para que la gente no me vea.,"Aunque es difícil, me digo a mí mismo que este sentimiento pasará. ","Quiero gritarle a mi amigo que se calle, pero respiro hondo y decido no hacerlo. "
Salud Física,,,Reírse de un chiste,"Un amigo cuenta un chiste gracioso y te empiezas a reír mucho. Mientras te ríes, sientes una opresión incómoda en el pecho que nunca antes habías sentido.  ",https://drive.google.com/file/d/1K45MgxXqPYoGwF_Ck9c26oX8B4Q6Oafv/view?usp=sharing,https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/man.jpg,Mi amigo es hilarante.,Ése es el chiste más divertido que he oído jamás.,¡No puedo recuperar el aliento!,"Esta tensión es realmente incómoda, pero sé que es por reírme mucho. ","Desearía que este sentimiento en mi pecho desapareciera, pero puedo soportarlo hasta que desaparezca. ",Me encanta cuando mis amigos me hacen reír.,Me siento muy conectado con mi amigo.,Tengo mucho miedo de lo que significa este sentimiento.,"Me pone nervioso saber por qué tengo opresión en el pecho, pero luego me recuerdo a mí mismo que esto es normal.","Me preocupa que este sentimiento signifique que algo anda mal en mí, pero sé que probablemente se deba a que me reí mucho. ",Respiro lentamente y sigo disfrutando de mi tiempo con amigos.,Le digo a mi amigo que es el mejor chiste que he oído jamás.,Inmediatamente empiezo a buscar en línea qué significa este sentimiento.,Me digo a mí mismo que este sentimiento de opresión no es nada serio.,"Quiero irme, pero recuerdo que esta tensión podría deberse a muchas razones, incluso simplemente por el entusiasmo de estar con mi amigo. "
Situaciones Sociales,Relaciones Románticas,,conocer a alguien nuevo,"En una fiesta de trabajo, tu amigo te presenta a un amigo suyo atractivo que no habías conocido antes. A la mañana siguiente, notas que te enviaron un correo electrónico.",https://drive.google.com/file/d/1azOE2eRIrdOPl9AdAR61tTkqUFdsq0zB/view?usp=sharing,https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/email_1.jpg,Creo que quieren conocerme.,Pensaron que era agradable hablar conmigo.,Probablemente querían enviar un correo electrónico a otra persona.,"Es posible que dejen de enviarme correos electrónicos después de que responda, pero probablemente estén muy ocupados.","Quizás quieran ser simplemente mis amigos, y eso me parece bien. ",Me siento halagado de que quisieran enviarme un correo electrónico.,Estoy emocionado de leer su respuesta.,Me siento inseguro de mantener una conversación con ellos.,"No estoy seguro de la razón por la que me enviaron un correo electrónico, pero me doy cuenta de que es solo porque querían hacerlo. ","Me preocupa lo que piensen de mí, pero sé que puedo lidiar con el no saberlo. ",Hago una broma en mi respuesta.,Hablo con mi amigo sobre lo emocionado que estoy.,Ignoro su correo electrónico porque estoy ansioso por responder.,"Quiero preguntarles por qué me enviaron un correo electrónico, pero decido simplemente ver cómo se desarrollan las cosas.","Me pone nervioso enviar la respuesta perfecta, pero decido ser yo mismo. "
Situaciones Sociales,,,Poco interes,Decide responder a todos a un correo electrónico de todo el departamento para compartir una idea. Han pasado algunas horas y nadie ha respondido a tu sugerencia todavía.,https://drive.google.com/file/d/1h6K5Zfme1ZXvFeEUrUxMpeqnVyoRZwcr/view?usp=sharing,https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/email_3.jpg,Todos deben estar muy ocupados.,Me gusta mucho la idea que compartí.,La gente probablemente piense que mi idea es estúpida.,"La gente puede no estar de acuerdo conmigo, pero eso me parece bien. ","Incluso si la gente no estuviera tan interesada en mi idea, todavía me alegro de haberla compartido.",Me siento muy orgulloso de mi idea.,Me siento feliz de probar cosas nuevas.,Me siento humillado.,"Me frustra que nadie haya respondido a mi correo electrónico, pero luego recuerdo que solo han pasado unas pocas horas.","Me siento decepcionado de que a mucha gente no le haya gustado mi idea, pero deben tener perspectivas diferentes a las mías. ",Tomo un descanso y vuelvo a mi correo electrónico más tarde.,No dejo que la falta de respuesta me deprima y sigo con mi día.,Le envío un correo electrónico a mi amigo por separado para preguntarle por qué cree que nadie ha respondido.,"Envío los demás correos electrónicos que necesito enviar, aunque me preocupa lo que la gente piensa de mí. ","Quiero fingir que mi idea fue sólo una broma, pero lucho contra el impulso."
Situaciones Sociales,,,Poco interes,Decide responder a todos a un correo electrónico de todo el departamento para compartir una idea. Han pasado algunas horas y nadie ha respondido a tu sugerencia todavía.,https://drive.google.com/file/d/1h6K5Zfme1ZXvFeEUrUxMpeqnVyoRZwcr/view?usp=sharing,https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/email_3.jpg,La gente aún no ha revisado su correo electrónico.,Estoy orgulloso de mi idea.,La gente ignoró la idea.,Puede que a mis colegas no les guste mi idea y puedo aceptarlo.,"Mi sugerencia no fue la mejor, pero no tengo que ser perfecto. ",Me siento valiente por compartir una idea con todo el departamento.,Estoy feliz de colaborar con mi departamento.,Me siento totalmente expuesto.,"Me avergüenza que a nadie le haya gustado mi idea, pero probablemente la olvidarán pronto. ","Me siento decepcionado por no haber recibido respuesta, pero probablemente la gente todavía esté pensando en ello. ","La próxima vez que mi departamento me envíe un correo electrónico sobre una idea, la compartiré.  ",Continúo mi trabajo sin centrarme en el correo electrónico.,Me detengo en la idea y me enfurruño.,"Me siento y compruebo si alguien ha respondido, pero decido salir y disfrutar el día. ","Quiero decirle a la gente que se olvide de mi idea, pero la dejo como está.  "
Salud Mental,Situaciones Sociales,,Marcado en una foto,"Tú y tus amigos tomaron algunas fotografías juntos. Al día siguiente, recibes una notificación de que te etiquetaron en una publicación en las redes sociales. No te gusta cómo te ves en la foto.",https://drive.google.com/file/d/1KskrjJ1I6dTgmaaRpMZPdIRFbz5zu4od/view?usp=sharing,https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/phonesocialmedia.jpg,A mis amigos les gusta salir conmigo.,Mis amigos tienen perfiles hermosos.,La gente va a juzgar cómo me veo.,"No creo que luzco bien en la foto, pero probablemente luzco mejor ante otras personas. ","Puede que a la gente no le guste la foto, pero me siento bien cuando mis amigos me aprecian. ",Soy feliz pensando en ese recuerdo.,Tengo confianza en mis amistades.,Me molesta que esta no sea una foto mía halagadora.,"Me siento enojado con mi amigo, pero sé que ellos no sabían lo que siento por la foto. ","Me siento inseguro acerca de cómo me veo en la foto, pero eso fue sólo un momento en el tiempo. ",Me gusta la publicación.,Comento en la foto lo bien que nos lo pasamos.,Llamo a mi amigo y le grito.,"Quiero que eliminen la foto, pero decido dejar que mi amigo siga así. ","Empiezo a borrar todas las fotos en las que no me veo bien, pero dejo de hacerlo porque conservar los recuerdos es más importante. "
Salud Mental,Situaciones Sociales,,Marcado en una foto,"Tú y tus amigos tomaron algunas fotografías juntos. Al día siguiente, recibes una notificación de que te etiquetaron en una publicación en las redes sociales. No te gusta cómo te ves en la foto.",https://drive.google.com/file/d/1KskrjJ1I6dTgmaaRpMZPdIRFbz5zu4od/view?usp=sharing,https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/phonesocialmedia.jpg,Es bueno que hayan publicado una foto de todos nosotros.,No creo que a nadie le importe cómo luzco.,Otras personas juzgarán cómo me veo en la foto.,"No creo que esta sea la mejor publicación, pero es solo una imagen y no es un reflejo de quién soy. ","Creo que mi amigo podría haber publicado una foto mejor, pero sé que en realidad no fue su intención publicar una mala mía. ",Me siento feliz porque es una foto grupal.,Estoy orgulloso del atuendo de la foto.,Me da vergüenza la cara que estoy poniendo en la foto.,"Me molesta que se haya publicado una foto mía tan mala, pero recuerdo que este no es el fin del mundo. ","Me da vergüenza que todos los demás luzcan mejor que yo, pero trato de alegrarme de que todos luzcan felices en la foto.",Publico una foto de hace unas semanas donde me gusta mucho cómo me veo.,Le digo a mi amigo que fue una buena idea publicar una foto de todos.,Dejo un comentario sobre lo que me da vergüenza.,"Quiero fingir que la imagen no existe, pero decido poner un comentario agradable en su lugar. ","Quiero preguntarles a mis amigos si creen que me veo bien, pero decido que me veo bien por mi cuenta."
Relaciones Románticas,Situaciones Sociales,,Ninguna respuesta,"Has estado enviando mensajes de texto a alguien que realmente te gusta y, por lo general, responde rápidamente. Notas que vieron tu mensaje hace un par de horas y no respondieron. ",https://drive.google.com/file/d/1NvTM1g3vx1Kut8y_4vvBJo79qKHzUztk/view?usp=sharing,https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/stressed_sm.jpg,Simplemente están ocupados.,Soy una buena persona con quien hablar.,No les debo agradar.,"Quizás piensen que soy aburrido, pero nadie es interesante todo el tiempo. ","Puede que no estén interesados ​​románticamente en mí, pero puedo pasar a otra persona.  ","Estoy feliz con quien soy, respondan o no. ",Me parece bien que no hayan respondido.,Me da vergüenza haberme expuesto.,"Me siento mal por no recibir una respuesta rápida, pero recuerda que no necesito intentar controlar la situación. ","Me preocupa no haber recibido respuesta, pero me doy cuenta de que no necesito recibir respuesta inmediatamente sobre lo que envié.",Sigo con mi día.,Llamo a un amigo y le pregunto sobre su día.,Envío un montón de mensajes seguidos para ver si responden.,"Quiero preguntarles qué piensan de mí, pero decido darle más tiempo. ","Quiero pasar el día concentrado en mi teléfono, pero en lugar de eso hago pasatiempos que disfruto. "
Relaciones Románticas,Situaciones Sociales,,Ninguna respuesta,"Has estado enviando mensajes de texto a alguien que realmente te gusta y, por lo general, responde rápidamente. Notas que vieron tu mensaje hace un par de horas y no respondieron. ",https://drive.google.com/file/d/1NvTM1g3vx1Kut8y_4vvBJo79qKHzUztk/view?usp=sharing,https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/stressed_sm.jpg,Deben tener mucho que hacer hoy.,Me llamarán cuando tengan tiempo.,Nunca me responderán.,"Tal vez los estoy molestando, pero es posible que también estén ocupados.","Si les gusta alguien más y no yo, no me gustará, pero dejaré de hacerlo. ",La anticipación de esperar una respuesta es emocionante.,Me siento feliz con mi capacidad para enviar mensajes divertidos.,Estoy molesto porque no respondieron de inmediato.,"Me preocupa que esto tenga algo que ver conmigo, pero me doy cuenta de que a esta persona le suceden muchas otras cosas en su vida. ","Me entristece que no hayan respondido rápidamente, pero sepan que no me sentiré triste para siempre. ",Me acerco a un amigo.,Empiezo a trabajar en otras cosas importantes que quiero hacer hoy.,Cancelo mis planes del día.,"Quiero eliminarlos de mi teléfono, pero decido darle algo de tiempo a la situación y calmarme. ","Quiero enviarle varios mensajes a esta persona, pero en lugar de eso llamar a un amigo. "
Finanzas,Situaciones Sociales,,el regalo de cumpleaños,Tu amigo va a celebrar una gran fiesta de cumpleaños y la mayoría de las personas de tu grupo de amigos estarán allí. Muchos de tus amigos son más ricos que tú y pueden permitirse el lujo de hacer regalos más caros.,https://drive.google.com/file/d/1FK97F0rS8LTIXbo5OdxVuIloeA1-jeHr/view?usp=sharing,https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/bdaypresents.jpg,Será bueno ver a muchos de mis amigos.,Mi amigo estará feliz de que pueda ir.,A mi amigo le dará vergüenza tenerme como amigo porque mi regalo no es tan bonito como el de los demás.,"Puede que mi amigo esté decepcionado con mi regalo, pero aun así me alegro de haber venido y haber demostrado que me importaba.","La gente puede juzgarme por mi don, pero sé que puse mucha atención y esfuerzo en encontrar algo especial. ",Me siento feliz de estar cerca de todos mis amigos.,Siento entusiasmo por compartir mi buena energía.,Me siento culpable por traer un regalo menos costoso.,"Me siento fatal, pero decido que la fiesta continuará.","Me revuelve el estómago pensando si a mi amigo le gustará su regalo, pero recuerdo que apreciarán mi consideración.",Me divierto bailando en la fiesta.,Les sonrío a todos mis amigos.,Intento escabullirme junto a mi amigo para que no me note cuando entro.,"Estoy tentado de irme antes de que abran los regalos, pero recuerdo que en realidad me estoy divirtiendo.","Quiero saltarme la fiesta para lidiar con mi ansiedad por el regalo, pero decido esforzarme para ir de todos modos."
Vida Familiar y Doméstica,,,familia molesta,Estás en casa de vacaciones y notas que tus hermanos están molestos entre ellos. Te dan una respuesta breve cuando intentas hablar con ellos.,https://drive.google.com/file/d/1SBNnoHm2DQ-ao5gfMeK2UcbNpRXoO47f/view?usp=sharing,https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/upset.jpg,Pienso que no tiene nada que ver conmigo.,Pienso en hacer algo bueno por ellos.,Me pregunto si hice algo mal.,"Creo que soy la razón por la que están peleando, pero recuerdo que están sucediendo muchas cosas que no tienen que ver conmigo. ","Me pregunto si estarán discutiendo por algo que hice, pero luego recuerdo que no es culpa mía si no se llevan bien.",Me alegro de poder salir de la situación.,Estoy seguro de que esto pasará bastante rápido.,Me enoja que siempre estén discutiendo.,"Me entristece que estén discutiendo mucho, pero sepan que son adultos y tienen que resolverlo ellos mismos.","Siento ansiedad al pensar que mis hermanos no se llevan bien, pero recuerdo que su relación no es mi responsabilidad.",Me alejo.,Voy a hacer mi trabajo.,Les grito que respondan mi pregunta.,"Quiero intervenir y arreglarlo por ellos, pero decido darles algo de espacio y dejar pasar mis sentimientos. ","Quiero marcharme furioso, pero alejarme con calma. "
Vida Familiar y Doméstica,,,familia molesta,Estás en casa de vacaciones y notas que tus hermanos están molestos entre ellos. Te dan una respuesta breve cuando intentas hablar con ellos.,https://drive.google.com/file/d/1SBNnoHm2DQ-ao5gfMeK2UcbNpRXoO47f/view?usp=sharing,https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/upset.jpg,Superarán esto en unos días.,Pienso en cómo estarán de mejor humor más tarde.,Inmediatamente me culpo por su pelea.,Pienso en lo que podría haber hecho para evitarlo y luego me recuerdo a mí mismo que no puedo controlarlo todo.,Pienso en cómo podrían seguir enojándose más y luego pienso en cómo se calmarán con el tiempo.,Me siento tranquilo aunque ellos estén un poco molestos.,Estoy seguro de que resolverán sus diferencias.,Estoy ansioso por la tensión entre ellos.,"Me siento culpable, pero me doy cuenta de que no hice nada malo.","Me entristece saber que mis hermanos discutieron, pero sé que el conflicto es parte de las relaciones saludables.",Salgo a caminar para tomar algo de espacio de la situación.,Llamo a mis amigos para ponerme al día.,Les digo que están siendo egoístas.,"Quiero obligarlos a resolverlo ahora mismo, pero sal a caminar y recuerda que pronto estarán bien. ","Quiero preguntarles si están discutiendo por mi culpa, pero decido que estoy bien sin saber los detalles. "
