Rank,Académicos/Trabajo/Desarrollo Profesional,,Vida Familiar y Doméstica,,Finanzas,,Salud Mental,,Salud Física,,Situaciones Sociales,,Relaciones Románticas,,Discriminación/Microagresiones,
10,,,Child Mind Institute,"Recursos en español para los adultos y guardianes. Información proveída sobre temas en salud mental, desafíos del aprendizaje y tipos de tratamientos para apoyar a sus hijos.",,,988/Lifeline (Línea Nacional de Prevención del Suicidio),Proporciona una línea de ayuda 24/7 donde personas pueden llamar por teléfono y tener conversaciones gratuitas y confidenciales. La línea apoya a personas en crisis o aquellos pensando en el suicidio. Para texters que prefieren hablar por teléfono. Llama a 988 o visita el enlace.,Planned Parenthood,"Brinda atención a la salud reproductiva, educación sexual e información a adultos y jóvenes.",,,,,Lambda Legal,Proporciona información acerca de derechos legales para personas LGBTQIA+ y sus familias a nivel nacional y estatal.
11,,,Ayuda con Pagos de Facturas,"Proporciona información acerca de programas gubernamentales que ayudan con pago de facturas y asistencia temporal.
",,,Cuaderno: Guía de salud mental,"Esta guía cubre todo tipo de información acerca de la salud mental, incluyendo secciones sobre trastornos, recursos, y consejos para sobrellevar síntomas y estrés.",Línea de Apoyo de All Options,"All Options es una organización que apoya a las personas embarazadas mientras deciden qué opción es mejor para su situación (por ejemplo, aborto, mantener el embarazo, etc.). La línea de ayuda tiene voluntarios bilingües que hablan español, aunque el sitio aún no es completamente bilingüe. Llama al 1-888-493-0092 o haz clic en el enlace para obtener más información.",,,,,RAICES,"RAICES es una agencia sin fines de lucro que promueve la justicia proporcionando servicios legales gratuitos y de bajo costo a niños inmigrantes desatendidos, familias y refugiados."
12,,,"Asociación Nacional de Clínicas Gratuitas y Benéficas (NAFCC, por sus siglas en inglés)","La Asociación Nacional de Clínicas Gratuitas y Benéficas es un directorio de clínicas que ofrecen servicios de salud gratuitos o de bajo costo para trabajadores pobres, sin seguro y/o con seguro insuficiente en los Estados Unidos. La organización también realiza actividades a nivel nacional con el fin de ampliar el acceso a la atención médica. Es posible cambiar el idioma usando la barra en la parte superior de la página a la derecha.",,,"Cuidado de Salud (Healthcare.gov)
",Proporciona servicios relacionados con obtener seguro médico a través del Affordable Care Act.,Consejos Para Madres Embarazadas,Este PDF ofrece información para madres embarazadas y describe cosas importantes que necesitan saber para un embarazo saludable.,,,,,Recuperación y Resiliencia: Un Libro de Actividades para Niños Latine Impactados por la Deportación,Este sitio ha designado una guía de actividades para niños que han sufrido la detención o deportación de sus padres o cuidadores.
13,,,Feeding America,Feeding America ofrece esta página informativa para que las personas puedan acceder a los recursos alimenticios.,,,Latinx Therapists Action Network (LTAN),Conecta a personas Latinas con terapeutas inclusivos y que promueven los derechos humanos y la dignidad para la comunidad Latina y de migrantes.,Guía de Métodos Anticonceptivos por el FDA,Guía de métodos anticonceptivos proporcionada por el FDA que compara todo tipo de anticonceptivos.,,,,,,
14,,,Hunger Free America,Hunger Free America es una organización nacional cuál se enfoca en programas necesarios para acabar con el hambre en EE. UU. Puede buscar banco de comida en línea o por teléfono a 1-877-8-HAMBRE.,,,Mental Health America,"El sitio general de MHA ofrece guías informativas, pruebas interactivas, y más acerca de la salud mental y trastornos/preocupaciones diversas.",Alianza Nacional para la Salud Hispana,"Alianza Nacional para la Salud Hispana ofrece información y recursos bilingües acerca de la salud física y mental. También tienen una línea telefónica (1-866-783-2645) que ofrece información de salud gratuita, confiable, y confidencial.",,,,,,
15,,,HealthWell Foundation,"HealthWell Foundation es una organización sin fines de lucro que ayuda a mejorar el acceso a la atención médica para personas con seguro médico inadecuado o que no cubre todos los costos. La organización tiene varios fondos para enfermedades, incluyendo ciertos cánceres, COVID-19, hepatitis, y más. HealthWell ayuda con diferencias en copagos, gastos médicos directos, primas de seguro, y deducibles. Puede solicitar ayuda aplicando en línea o llamando a (800) 675-8416.",,,MentalHealth.Gov,El sitio Web proporciona información acerca de todo tipo de cuestiones de salud mental. Incluye información que abarca desde los trastornos alimenticios hasta la ansiedad.,Oficina para la Salud de la Mujer,La Oficina para la Salud de la Mujer es la oficina gubernamental encargada de preservar y promover la buena salud y el bienestar de las mujeres. Ofrecen información y recursos.,,,,,,
16,,,InsureKidsNow,Insure Kids Now ayuda a familias a buscar cobertura médica u odontológica a través de Medicaid y del Programa de Seguro Médico para Niños. Ofrece recursos y apoyo para buscar servicios gratuitos o de bajo costo.,,,National Alliance on Mental Illness,"Proporciona educación, información, y apoyo y Defensa para aquellos afectados por enfermedades mentales. Los recursos de esta página son específicos a la comunidad Latina.",MiBuscadorDeSalud,"Operado por el Departamento de Salud de los EE. UU., brinda información, artículos sobre cuestiones de salud, servicios de búsqueda para recursos de salud nacionales y locales.",,,,,,
17,,,Dougy Center,"Brinda información sobre el duelo y formas de encontrar grupos de apoyo locales, especialmente para niños, adolescentes y sus familias. La página ofrecida por el enlace tiene recursos en español, pero el idioma de todo el sitio también puede ser cambiado al español usando la barra en la parte superior de la página.",,,Proveedores de atención de la salud mental: consejos para encontrar uno,"Esta página web proporciona consejos e información a tener en cuenta cuando alguien busca un proveedor de salud mental. Cubre los diferentes tipos de proveedores, qué tener en cuenta en cuanto a condiciones/necesidades médicas y dónde se puede buscar proveedores.",Cuidado de Salud (Healthcare.gov),Proporciona servicios relacionados con obtener seguro médico a través del Affordable Care Act,,,,,,
18,,,Guías de autoayuda: ¿Cómo afrontar el duelo?,"El duelo puede ser una experiencia difícil y estresante. Esta guía da información sobre el duelo y cómo apoyar a seres queridos, o incluso a uno mismo, a sobrellevarlo.",,,Therapy for Latinx,Conecta a personas Latinas con terapeutas inclusivos y sintonizados culturalmente. Es posible cambiar el idioma de la página utilizando la barra en la parte superior. ,Fundación Defensora del Paciente (Patient Advocate Foundation),"Brinda a los pacientes de bajos ingresos y sin seguro médico servicios de administración de casos y ayuda financiera para acceder al tratamiento de atención médica para enfermedades crónicas, potencialmente mortales y debilitantes.",,,,,,
19,,,,,,,,,Hablar con su médico (NIH),Esta página web proporcionada por NIH ofrece guías sobre cómo comunicarse con los médicos y proveedores de atención médica para tomar decisiones colaborativas e informadas sobre tu salud.,,,,,,
20,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,,,
